sales_date,CustomerID,gross_sales,returns,net_sales
2010-12-05,16353,204.00,0.00,204.00
2010-12-05,16393,184.80,0.00,184.80
2010-12-05,16402,211.80,0.00,211.80
2010-12-05,16411,131.50,0.00,131.50
2010-12-05,16422,1668.20,0.00,1668.20
2010-12-05,16718,623.75,0.00,623.75
2010-12-05,16814,273.29,0.00,273.29
2010-12-05,16839,552.24,0.00,552.24
2010-12-05,16931,152.05,0.00,152.05
2010-12-05,16983,163.49,0.00,163.49
2010-12-05,17026,33.15,0.00,33.15
2010-12-05,17059,722.36,0.00,722.36
2010-12-05,17062,179.64,0.00,179.64
2010-12-05,17211,273.30,0.00,273.30
2010-12-05,17243,256.90,0.00,256.90
2010-12-05,17402,459.97,0.00,459.97
2010-12-05,17796,114.65,0.00,114.65
2010-12-05,17858,251.25,0.00,251.25
2010-12-05,17863,384.72,0.00,384.72
2010-12-05,17965,37.35,0.00,37.35
2010-12-05,18055,431.45,0.00,431.45
2010-12-05,18109,277.45,0.00,277.45
2010-12-05,18118,475.86,0.00,475.86
2010-12-05,18156,206.23,0.00,206.23
2010-12-06,NULL,23614.82,-219.72,23395.10
2010-12-06,12474,0.00,-34.00,-34.00
2010-12-06,12586,0.00,-17.00,-17.00
2010-12-06,12708,196.44,0.00,196.44
2010-12-06,12748,215.19,0.00,215.19
2010-12-06,12808,129.40,0.00,129.40
2010-12-06,12913,417.62,0.00,417.62
2010-12-06,13030,427.74,0.00,427.74
2010-12-06,13089,2496.22,0.00,2496.22
2010-12-06,13094,223.68,0.00,223.68
2010-12-06,13155,379.70,0.00,379.70
2010-12-06,13468,222.18,0.00,222.18
2010-12-06,13481,0.00,-4.25,-4.25
2010-12-06,13495,510.95,0.00,510.95
2010-12-06,13497,153.50,-27.00,126.50
2010-12-06,13564,540.00,0.00,540.00
2010-12-06,13652,308.80,0.00,308.80
2010-12-06,14085,308.05,0.00,308.05
2010-12-06,14189,311.24,0.00,311.24
2010-12-06,14215,166.00,0.00,166.00
2010-12-06,14293,364.92,0.00,364.92
2010-12-06,14344,322.80,0.00,322.80
2010-12-06,14409,328.80,-151.20,177.60
2010-12-06,14443,303.50,0.00,303.50
2010-12-06,14487,125.10,-12.75,112.35
2010-12-06,14667,511.56,0.00,511.56
2010-12-06,14708,419.06,0.00,419.06
2010-12-06,14748,470.42,0.00,470.42
2010-12-06,14825,184.10,0.00,184.10
2010-12-06,14867,0.00,-8.95,-8.95
2010-12-06,14911,1182.50,0.00,1182.50
2010-12-06,15028,185.97,0.00,185.97
2010-12-06,15039,611.51,0.00,611.51
2010-12-06,15048,98.70,0.00,98.70
2010-12-06,15078,475.15,0.00,475.15
2010-12-06,15194,406.16,0.00,406.16
2010-12-06,15301,673.37,0.00,673.37
2010-12-06,15304,123.15,0.00,123.15
2010-12-06,15356,150.22,0.00,150.22
2010-12-06,15426,0.00,-4.95,-4.95
2010-12-06,15502,192.70,-385.40,-192.70
2010-12-06,15602,92.55,0.00,92.55
2010-12-06,15860,102.66,0.00,102.66
2010-12-06,15882,371.32,-21.00,350.32
2010-12-06,15898,382.69,0.00,382.69
2010-12-06,15899,56.25,0.00,56.25
2010-12-06,15919,270.72,0.00,270.72
2010-12-06,15984,122.70,0.00,122.70
2010-12-06,15987,113.48,0.00,113.48
2010-12-06,16138,0.00,-7.95,-7.95
2010-12-06,16161,164.20,-39.00,125.20
2010-12-06,16210,2263.80,0.00,2263.80
2010-12-06,16550,554.66,-9.05,545.61
2010-12-06,16638,50.40,0.00,50.40
2010-12-06,16654,227.40,0.00,227.40
2010-12-06,16658,123.24,0.00,123.24
2010-12-06,16710,375.47,0.00,375.47
2010-12-06,16719,430.73,0.00,430.73
2010-12-06,16722,480.68,0.00,480.68
2010-12-06,16782,0.00,-5.95,-5.95
2010-12-06,16817,244.20,0.00,244.20
2010-12-06,16858,375.69,0.00,375.69
2010-12-06,16861,0.00,-22.11,-22.11
2010-12-06,16898,116.08,0.00,116.08
2010-12-06,16919,198.35,0.00,198.35
2010-12-06,16955,33.00,0.00,33.00
2010-12-06,17019,358.82,0.00,358.82
2010-12-06,17068,166.15,0.00,166.15
2010-12-06,17191,510.11,0.00,510.11
2010-12-06,17218,292.54,0.00,292.54
2010-12-06,17223,292.84,0.00,292.84
2010-12-06,17227,142.25,0.00,142.25
2010-12-06,17259,381.64,0.00,381.64
2010-12-06,17320,450.92,0.00,450.92
2010-12-06,17381,2567.64,0.00,2567.64
2010-12-06,17428,353.00,0.00,353.00
2010-12-06,17519,335.30,0.00,335.30
2010-12-06,17596,392.62,0.00,392.62
2010-12-06,17674,300.66,0.00,300.66
2010-12-06,17677,965.00,0.00,965.00
2010-12-06,17682,391.50,0.00,391.50
2010-12-06,17691,142.50,0.00,142.50
2010-12-06,17757,149.00,0.00,149.00
2010-12-06,17812,217.55,0.00,217.55
2010-12-06,17841,406.69,0.00,406.69
2010-12-06,17860,252.80,0.00,252.80
2010-12-06,17869,214.32,0.00,214.32
2010-12-06,17884,137.11,0.00,137.11
2010-12-06,17920,221.50,0.00,221.50
2010-12-06,18113,76.32,0.00,76.32
2010-12-06,18219,210.19,0.00,210.19
2010-12-07,NULL,45822.89,-53889.83,-8066.94
2010-12-07,12347,711.79,0.00,711.79
2010-12-07,12567,415.46,0.00,415.46
2010-12-07,12647,596.80,0.00,596.80
2010-12-07,12681,1033.52,0.00,1033.52
2010-12-07,12748,306.84,0.00,306.84
2010-12-07,12839,402.61,0.00,402.61
2010-12-07,12971,111.54,0.00,111.54
2010-12-07,13173,165.94,0.00,165.94
2010-12-07,13319,0.00,-28.15,-28.15
2010-12-07,13488,1381.92,0.00,1381.92
2010-12-07,13569,118.32,0.00,118.32
2010-12-07,13756,532.80,0.00,532.80
2010-12-07,13769,322.30,0.00,322.30
2010-12-07,13786,230.40,0.00,230.40
2010-12-07,13807,112.60,0.00,112.60
2010-12-07,13880,97.80,0.00,97.80
2010-12-07,13963,151.30,0.00,151.30
2010-12-07,14135,319.00,0.00,319.00
2010-12-07,14176,159.55,0.00,159.55
2010-12-07,14282,571.00,0.00,571.00
2010-12-07,14344,17.85,0.00,17.85
2010-12-07,14673,373.49,0.00,373.49
2010-12-07,14733,1830.02,0.00,1830.02
2010-12-07,14739,713.88,0.00,713.88
2010-12-07,14850,0.00,-47.60,-47.60
2010-12-07,14907,618.07,0.00,618.07
2010-12-07,15002,631.65,0.00,631.65
2010-12-07,15018,111.25,0.00,111.25
2010-12-07,15021,0.00,-9.35,-9.35
2010-12-07,15024,491.22,0.00,491.22
2010-12-07,15061,2022.16,0.00,2022.16
2010-12-07,15081,111.15,0.00,111.15
2010-12-07,15100,0.00,-131.40,-131.40
2010-12-07,15180,87.50,0.00,87.50
2010-12-07,15353,311.65,0.00,311.65
2010-12-07,15498,0.00,-281.00,-281.00
2010-12-07,15649,510.00,0.00,510.00
2010-12-07,15838,957.50,0.00,957.50
2010-12-07,15858,383.93,0.00,383.93
2010-12-07,15898,139.00,0.00,139.00
2010-12-07,15965,156.19,0.00,156.19
2010-12-07,16059,118.25,0.00,118.25
2010-12-07,16086,177.26,0.00,177.26
2010-12-07,16125,289.35,0.00,289.35
2010-12-07,16221,166.74,0.00,166.74
2010-12-07,16293,378.75,0.00,378.75
2010-12-07,16306,68.10,0.00,68.10
2010-12-07,16365,139.86,0.00,139.86
2010-12-07,16775,231.90,0.00,231.90
2010-12-07,16904,338.70,0.00,338.70
2010-12-07,16950,172.00,0.00,172.00
2010-12-07,17017,511.80,0.00,511.80
2010-12-07,17091,293.45,0.00,293.45
2010-12-07,17228,172.65,0.00,172.65
2010-12-07,17287,108.78,0.00,108.78
2010-12-07,17419,374.27,0.00,374.27
2010-12-07,17450,2028.84,0.00,2028.84
2010-12-07,17470,178.40,0.00,178.40
2010-12-07,17491,327.40,0.00,327.40
2010-12-07,17511,1644.94,-76.32,1568.62
2010-12-07,17591,406.60,0.00,406.60
2010-12-07,17616,326.40,0.00,326.40
2010-12-07,17675,617.12,-75.60,541.52
2010-12-07,17720,102.00,0.00,102.00
2010-12-07,17735,454.60,0.00,454.60
2010-12-07,17897,268.73,0.00,268.73
2010-12-07,17954,19.90,-19.90,0.00
2010-12-07,18055,569.03,0.00,569.03
2010-12-07,18102,25920.37,0.00,25920.37
2010-12-07,18119,181.12,0.00,181.12
2010-12-08,NULL,6141.16,0.00,6141.16
2010-12-08,12386,258.90,0.00,258.90
2010-12-08,12433,1867.98,0.00,1867.98
2010-12-08,12441,173.55,0.00,173.55
2010-12-08,12709,522.70,0.00,522.70
2010-12-08,12712,0.00,-12.75,-12.75
2010-12-08,12748,367.52,0.00,367.52
2010-12-08,12766,1149.29,0.00,1149.29
2010-12-08,12870,0.00,-14.90,-14.90
2010-12-08,12921,365.40,0.00,365.40
2010-12-08,12971,111.53,0.00,111.53
2010-12-08,13050,328.01,0.00,328.01
2010-12-08,13077,313.72,0.00,313.72
2010-12-08,13078,514.39,0.00,514.39
2010-12-08,13113,372.97,-31.85,341.12
2010-12-08,13115,0.00,-5.00,-5.00
2010-12-08,13126,223.44,0.00,223.44
2010-12-08,13140,159.51,0.00,159.51
2010-12-08,13199,468.68,0.00,468.68
2010-12-08,13267,328.45,-13.90,314.55
2010-12-08,13270,590.00,0.00,590.00
2010-12-08,13329,304.20,0.00,304.20
2010-12-08,13370,0.00,-33.55,-33.55
2010-12-08,13455,692.94,0.00,692.94
2010-12-08,13495,0.00,-54.75,-54.75
2010-12-08,13523,566.95,0.00,566.95
2010-12-08,13531,305.45,0.00,305.45
2010-12-08,13599,352.84,0.00,352.84
2010-12-08,13649,197.80,0.00,197.80
2010-12-08,13758,356.40,0.00,356.40
2010-12-08,13777,255.00,0.00,255.00
2010-12-08,13842,310.57,0.00,310.57
2010-12-08,13848,320.00,0.00,320.00
2010-12-08,13983,329.36,0.00,329.36
2010-12-08,13984,154.80,0.00,154.80
2010-12-08,14030,676.50,0.00,676.50
2010-12-08,14032,303.86,0.00,303.86
2010-12-08,14051,623.42,0.00,623.42
2010-12-08,14060,281.00,0.00,281.00
2010-12-08,14217,118.30,0.00,118.30
2010-12-08,14299,0.00,-209.00,-209.00
2010-12-08,14388,0.00,-13.45,-13.45
2010-12-08,14606,215.88,0.00,215.88
2010-12-08,14618,0.00,-14.85,-14.85
2010-12-08,14744,225.00,0.00,225.00
2010-12-08,14766,180.40,0.00,180.40
2010-12-08,14796,671.21,-1.95,669.26
2010-12-08,14821,48.80,0.00,48.80
2010-12-08,14866,103.68,0.00,103.68
2010-12-08,14901,158.25,-6.30,151.95
2010-12-08,14952,0.00,-103.00,-103.00
2010-12-08,15005,222.50,0.00,222.50
2010-12-08,15021,205.64,-6.65,198.99
2010-12-08,15032,2770.60,0.00,2770.60
2010-12-08,15100,350.40,0.00,350.40
2010-12-08,15221,403.25,0.00,403.25
2010-12-08,15298,397.60,0.00,397.60
2010-12-08,15311,251.09,-26.38,224.71
2010-12-08,15332,63.00,0.00,63.00
2010-12-08,15347,201.60,0.00,201.60
2010-12-08,15498,976.72,0.00,976.72
2010-12-08,15529,295.66,0.00,295.66
2010-12-08,15581,272.34,0.00,272.34
2010-12-08,15628,319.18,0.00,319.18
2010-12-08,15680,478.89,0.00,478.89
2010-12-08,15713,171.15,0.00,171.15
2010-12-08,15750,340.52,0.00,340.52
2010-12-08,15916,232.45,-18.30,214.15
2010-12-08,15973,307.82,0.00,307.82
2010-12-08,15996,263.25,0.00,263.25
2010-12-08,16011,237.95,0.00,237.95
2010-12-08,16016,382.27,-8.50,373.77
2010-12-08,16081,157.60,0.00,157.60
2010-12-08,16122,105.72,0.00,105.72
2010-12-08,16233,147.40,0.00,147.40
2010-12-08,16252,0.00,-295.09,-295.09
2010-12-08,16385,148.23,0.00,148.23
2010-12-08,16525,411.44,0.00,411.44
2010-12-08,16553,0.00,-4.25,-4.25
2010-12-08,16558,569.40,0.00,569.40
2010-12-08,16596,120.65,0.00,120.65
2010-12-08,16679,129.75,0.00,129.75
2010-12-08,16700,336.94,0.00,336.94
2010-12-08,16713,414.43,-7.95,406.48
2010-12-08,16717,307.25,0.00,307.25
2010-12-08,16722,318.84,0.00,318.84
2010-12-08,16779,356.91,0.00,356.91
2010-12-08,16858,0.00,-29.80,-29.80
2010-12-08,16863,164.25,0.00,164.25
2010-12-08,16893,145.93,0.00,145.93
2010-12-08,17213,312.90,0.00,312.90
2010-12-08,17262,268.86,0.00,268.86
2010-12-08,17324,127.05,0.00,127.05
2010-12-08,17340,2671.27,-267.12,2404.15
2010-12-08,17341,513.60,0.00,513.60
2010-12-08,17406,702.10,0.00,702.10
2010-12-08,17655,676.10,0.00,676.10
2010-12-08,17676,300.70,0.00,300.70
2010-12-08,17677,651.60,0.00,651.60
2010-12-08,17690,71.40,0.00,71.40
2010-12-08,17706,477.83,0.00,477.83
2010-12-08,17722,910.14,0.00,910.14
2010-12-08,17870,326.40,0.00,326.40
2010-12-08,17894,106.77,0.00,106.77
2010-12-08,17975,314.10,0.00,314.10
2010-12-08,17999,190.34,0.00,190.34
2010-12-08,18043,316.46,0.00,316.46
2010-12-08,18061,405.16,0.00,405.16
2010-12-08,18077,204.87,0.00,204.87
2010-12-08,18193,0.00,-20.85,-20.85
