Date,Sales
2011-07-24,26383.3
2011-07-25,25347.69
2011-07-26,20935.91
2011-07-27,25133.58
2011-07-28,55183.98
2011-07-29,17859.45
2011-07-31,33083.5
2011-08-01,20861.9
2011-08-02,14483.22
2011-08-03,26824.36
2011-08-04,60241.75
2011-08-05,20824.67
2011-08-07,7464.12
2011-08-08,22667.22
2011-08-09,26661.47
2011-08-10,27871.61
2011-08-11,64737.77
2011-08-12,20396.51
2011-08-14,5584.69
2011-08-15,17047.54
2011-08-16,19014.67
2011-08-17,49181.02
2011-08-18,53311.27
2011-08-19,16813.54
2011-08-21,14359.210000000001
2011-08-22,27776.41
2011-08-23,25424.54
2011-08-24,35493.8
2011-08-25,22207.76
2011-08-26,25260.13
2011-08-28,10784.78
2011-08-30,29078.9
2011-08-31,15041.69
2011-09-01,36678.81
2011-09-02,39863.81
2011-09-04,16860.74
2011-09-05,36222.04
2011-09-06,27744.62
2011-09-07,31493.52
2011-09-08,26294.29
2011-09-09,29182.22
2011-09-11,35163.47
2011-09-12,28831.73
2011-09-13,54097.64
2011-09-14,23129.47
2011-09-15,61148.17
2011-09-16,26504.82
2011-09-18,15690.68
2011-09-19,45650.62
2011-09-20,108335.17
2011-09-21,40946.659999999996
2011-09-22,56345.81
2011-09-23,37880.63
2011-09-25,31064.76
2011-09-26,28290.25
2011-09-27,34678.35
2011-09-28,42138.29
2011-09-29,43141.6
2011-09-30,42791.13
2011-10-02,11623.58
2011-10-03,60423.71
2011-10-04,47135.98
2011-10-05,74470.06
2011-10-06,54613.2
2011-10-07,46700.89
2011-10-09,11922.24
2011-10-10,44656.62
2011-10-11,37608.14
2011-10-12,28132.62
2011-10-13,35522.79
2011-10-14,34592.88
2011-10-16,21605.05
2011-10-17,45706.43
2011-10-18,43925.73
2011-10-19,34551.34
2011-10-20,60507.53
2011-10-21,62784.26
2011-10-23,12252.03
2011-10-24,38651.14
2011-10-25,39582.39
2011-10-26,36091.45
2011-10-27,46764.53
2011-10-28,39868.03
2011-10-30,34078.74
2011-10-31,44310.72
2011-11-01,28459.55
2011-11-02,44422.89
2011-11-03,62109.28
2011-11-04,59657.27
2011-11-06,42552.66
2011-11-07,68465.2
2011-11-08,53741.75
2011-11-09,61628.39
2011-11-10,68213.13
2011-11-11,52638.22
2011-11-13,32308.76
2011-11-14,110806.17
2011-11-15,58166.21
2011-11-16,61012.46
2011-11-17,58350.06
2011-11-18,48365.83
2011-11-20,33469.26
2011-11-21,47166.66
2011-11-22,60521.01
2011-11-23,75496.41
2011-11-24,46058.67
2011-11-25,46723.44
2011-11-27,20565.22
2011-11-28,53991.27
2011-11-29,67942.51
2011-11-30,55252.04
2011-12-01,49976.15
2011-12-02,55607.19
2011-12-04,24333.03
2011-12-05,50242.15
2011-12-06,52931.35
2011-12-07,72709.71
2011-12-08,76617.42
2011-12-09,29549.879999999986
