Category,InvoiceDate,Quantity,TotalValue
Manual Adjustment,2011-01-13 15:10,1,0.0
Manual Adjustment,2011-01-20 15:41,-1400,0.0
Manual Adjustment,2011-01-20 15:42,-300,0.0
Manual Adjustment,2011-01-24 10:54,-57,0.0
Manual Adjustment,2011-01-26 13:10,-59,0.0
Manual Adjustment,2011-01-27 12:47,-20,0.0
Manual Adjustment,2011-02-01 11:47,-207,0.0
Manual Adjustment,2011-02-04 16:06,-1430,0.0
Manual Adjustment,2011-02-04 16:07,-392,0.0
Manual Adjustment,2011-02-04 16:08,-390,0.0
Manual Adjustment,2011-02-10 13:08,16,0.0
Manual Adjustment,2011-02-14 09:44,-64,0.0
Manual Adjustment,2011-02-18 13:54,-741,0.0
Manual Adjustment,2011-02-22 12:37,-400,0.0
Manual Adjustment,2011-02-28 13:31,4,0.0
Manual Adjustment,2011-02-28 14:19,87,0.0
Manual Adjustment,2011-03-01 10:32,-15,0.0
Manual Adjustment,2011-03-02 12:03,-5,0.0
Manual Adjustment,2011-03-03 15:03,-150,0.0
Manual Adjustment,2011-03-07 13:56,-154,0.0
Manual Adjustment,2011-03-07 15:18,34,0.0
Manual Adjustment,2011-03-08 13:07,-3000,0.0
Manual Adjustment,2011-03-08 15:55,-19,0.0
Manual Adjustment,2011-03-08 17:21,-675,0.0
Manual Adjustment,2011-03-08 17:23,-600,0.0
Manual Adjustment,2011-03-08 17:27,-555,0.0
Manual Adjustment,2011-03-08 17:29,-975,0.0
Manual Adjustment,2011-03-08 17:31,-1800,0.0
Manual Adjustment,2011-03-09 14:50,-1121,0.0
Manual Adjustment,2011-03-09 14:52,-27,0.0
Manual Adjustment,2011-03-09 15:07,-541,0.0
Manual Adjustment,2011-03-09 15:08,-1277,0.0
Manual Adjustment,2011-03-09 16:33,-197,0.0
Manual Adjustment,2011-03-09 16:34,-300,0.0
Manual Adjustment,2011-03-09 16:35,2970,0.0
Manual Adjustment,2011-03-09 16:37,-1100,0.0
Manual Adjustment,2011-03-09 16:39,-80,0.0
Manual Adjustment,2011-03-09 16:42,-63,0.0
Manual Adjustment,2011-03-09 16:43,-100,0.0
Manual Adjustment,2011-03-09 17:02,-230,0.0
Manual Adjustment,2011-03-09 17:25,-5368,0.0
Manual Adjustment,2011-03-10 13:26,-259,0.0
Manual Adjustment,2011-03-11 16:21,130,0.0
Manual Adjustment,2011-03-11 16:24,-178,0.0
Manual Adjustment,2011-03-11 16:25,170,0.0
Manual Adjustment,2011-03-11 16:27,-110,0.0
Manual Adjustment,2011-03-18 11:02,70,0.0
Manual Adjustment,2011-03-22 11:45,-323,0.0
Manual Adjustment,2011-03-22 11:47,-230,0.0
Manual Adjustment,2011-03-22 11:51,-450,0.0
Manual Adjustment,2011-03-22 12:33,-232,0.0
Manual Adjustment,2011-03-22 16:54,1,0.0
Manual Adjustment,2011-03-23 10:25,36,0.0
Manual Adjustment,2011-03-23 17:27,-524,0.0
Manual Adjustment,2011-03-23 17:28,-2472,0.0
Manual Adjustment,2011-03-24 13:57,13,0.0
Manual Adjustment,2011-03-24 17:51,100,0.0
Manual Adjustment,2011-03-28 15:11,-40,0.0
Manual Adjustment,2011-03-29 09:36,-100,0.0
Manual Adjustment,2011-03-30 12:45,5,0.0
Manual Adjustment,2011-03-30 16:44,-60,0.0
Manual Adjustment,2011-03-30 16:45,-690,0.0
Manual Adjustment,2011-03-30 17:18,-39,0.0
Manual Adjustment,2011-03-30 17:21,-25,0.0
Manual Adjustment,2011-04-01 11:53,-32,0.0
Manual Adjustment,2011-04-04 14:42,2,0.0
Manual Adjustment,2011-04-05 14:34,-26,0.0
Manual Adjustment,2011-04-06 11:14,1,0.0
Manual Adjustment,2011-04-08 11:56,-12,0.0
Manual Adjustment,2011-04-08 16:03,-1479,0.0
Manual Adjustment,2011-04-08 16:56,-576,0.0
Manual Adjustment,2011-04-08 17:05,-750,0.0
Manual Adjustment,2011-04-12 14:30,-6,0.0
Manual Adjustment,2011-04-13 11:16,-43,0.0
Manual Adjustment,2011-04-13 12:55,-1,0.0
Manual Adjustment,2011-04-13 12:57,-6,0.0
Manual Adjustment,2011-04-13 13:05,-93,0.0
Manual Adjustment,2011-04-14 14:44,-1,0.0
Manual Adjustment,2011-04-14 18:57,1,0.0
Manual Adjustment,2011-04-18 13:18,1300,0.0
Manual Adjustment,2011-04-20 11:53,-150,0.0
Manual Adjustment,2011-04-20 14:48,-65,0.0
Manual Adjustment,2011-04-21 12:39,-68,0.0
Manual Adjustment,2011-04-21 14:29,-25,0.0
Manual Adjustment,2011-04-21 15:55,3,0.0
Manual Adjustment,2011-04-21 15:56,14,0.0
Manual Adjustment,2011-04-21 16:14,84,0.0
Manual Adjustment,2011-04-21 16:15,2,0.0
Manual Adjustment,2011-04-21 16:16,2,0.0
Manual Adjustment,2011-04-21 16:18,-2,0.0
Manual Adjustment,2011-04-26 11:19,-210,0.0
Manual Adjustment,2011-04-27 11:48,41,0.0
Manual Adjustment,2011-04-27 11:49,-53,0.0
Manual Adjustment,2011-04-27 14:55,-18,0.0
Manual Adjustment,2011-04-27 14:56,2,0.0
Manual Adjustment,2011-04-27 15:31,-9,0.0
Manual Adjustment,2011-04-27 15:47,13,0.0
Manual Adjustment,2011-04-27 16:01,-4,0.0
Manual Adjustment,2011-05-03 14:35,-11,0.0
Manual Adjustment,2011-05-04 10:25,-19,0.0
Manual Adjustment,2011-05-04 13:23,-1512,0.0
Manual Adjustment,2011-05-06 13:25,100,0.0
Manual Adjustment,2011-05-06 13:28,100,0.0
Manual Adjustment,2011-05-06 13:29,100,0.0
Manual Adjustment,2011-05-06 13:59,100,0.0
Manual Adjustment,2011-05-06 15:43,6,0.0
Manual Adjustment,2011-05-09 10:24,-30,0.0
Manual Adjustment,2011-05-09 13:05,-360,0.0
Manual Adjustment,2011-05-11 10:48,-2376,0.0
Manual Adjustment,2011-05-12 15:21,4,0.0
Manual Adjustment,2011-05-13 13:58,-160,0.0
Manual Adjustment,2011-05-16 16:42,-786,0.0
Manual Adjustment,2011-05-16 16:47,-60,0.0
Manual Adjustment,2011-05-16 16:48,-21,0.0
Manual Adjustment,2011-05-16 17:07,-590,0.0
Manual Adjustment,2011-05-16 17:09,-40,0.0
Manual Adjustment,2011-05-17 12:06,192,0.0
Manual Adjustment,2011-05-17 14:35,73,0.0
Manual Adjustment,2011-05-17 15:27,44,0.0
Manual Adjustment,2011-05-18 16:18,1,0.0
Manual Adjustment,2011-05-20 14:13,80,0.0
Manual Adjustment,2011-05-23 09:26,-4,0.0
Manual Adjustment,2011-05-23 10:40,-413,0.0
Manual Adjustment,2011-05-23 10:42,-664,0.0
Manual Adjustment,2011-05-23 14:17,-48,0.0
Manual Adjustment,2011-05-24 12:16,-97,0.0
Manual Adjustment,2011-05-25 09:57,1300,0.0
Manual Adjustment,2011-05-25 09:58,-1300,0.0
Manual Adjustment,2011-05-25 09:59,-1300,0.0
Manual Adjustment,2011-05-27 09:24,-212,0.0
Manual Adjustment,2011-06-02 11:11,-317,0.0
Manual Adjustment,2011-06-02 11:12,-192,0.0
Manual Adjustment,2011-06-03 15:39,-1,0.0
Manual Adjustment,2011-06-03 15:48,-16,0.0
Manual Adjustment,2011-06-03 16:03,-57,0.0
Manual Adjustment,2011-06-08 12:56,-140,0.0
Manual Adjustment,2011-06-09 10:12,-108,0.0
Manual Adjustment,2011-06-09 10:13,-15,0.0
Manual Adjustment,2011-06-09 15:04,4000,0.0
Manual Adjustment,2011-06-09 15:15,-304,0.0
Manual Adjustment,2011-06-09 15:20,-272,0.0
Manual Adjustment,2011-06-09 16:06,-1206,0.0
Manual Adjustment,2011-06-09 18:02,-18,0.0
Manual Adjustment,2011-06-09 18:03,-6,0.0
Manual Adjustment,2011-06-09 18:04,-95,0.0
Manual Adjustment,2011-06-10 10:17,-161,0.0
Manual Adjustment,2011-06-10 10:18,-50,0.0
Manual Adjustment,2011-06-10 10:38,-30,0.0
Manual Adjustment,2011-06-10 10:39,-30,0.0
Manual Adjustment,2011-06-10 10:43,-390,0.0
Manual Adjustment,2011-06-10 10:44,-72,0.0
Manual Adjustment,2011-06-10 10:45,-12,0.0
Manual Adjustment,2011-06-10 10:46,-42,0.0
Manual Adjustment,2011-06-10 10:47,-192,0.0
Manual Adjustment,2011-06-10 10:48,-72,0.0
Manual Adjustment,2011-06-10 10:49,-618,0.0
Manual Adjustment,2011-06-10 10:50,-66,0.0
Manual Adjustment,2011-06-10 10:51,-204,0.0
Manual Adjustment,2011-06-14 10:36,-9058,0.0
Manual Adjustment,2011-06-14 10:37,-19200,0.0
Manual Adjustment,2011-06-15 16:34,240,0.0
Manual Adjustment,2011-06-16 09:04,10,0.0
Manual Adjustment,2011-06-16 09:40,-9,0.0
Manual Adjustment,2011-06-16 13:52,-220,0.0
Manual Adjustment,2011-06-16 13:53,-271,0.0
Manual Adjustment,2011-06-16 15:58,-1440,0.0
Manual Adjustment,2011-06-20 11:12,-4,0.0
Manual Adjustment,2011-06-20 11:51,-324,0.0
Manual Adjustment,2011-06-21 11:33,-2880,0.0
Manual Adjustment,2011-06-21 11:34,-1440,0.0
Manual Adjustment,2011-06-21 11:35,-1440,0.0
Manual Adjustment,2011-06-22 15:49,-5,0.0
Manual Adjustment,2011-06-27 16:28,8,0.0
Manual Adjustment,2011-06-28 10:17,-220,0.0
Manual Adjustment,2011-06-28 10:59,-118,0.0
Manual Adjustment,2011-06-28 14:01,52,0.0
Manual Adjustment,2011-06-28 15:40,3,0.0
Manual Adjustment,2011-06-28 16:34,-1681,0.0
Manual Adjustment,2011-06-29 13:59,-95,0.0
Manual Adjustment,2011-06-29 16:04,-6,0.0
Manual Adjustment,2011-07-01 14:28,-7,0.0
Manual Adjustment,2011-07-01 14:31,37,0.0
Manual Adjustment,2011-07-01 14:51,-1,0.0
Manual Adjustment,2011-07-07 12:35,574,0.0
Manual Adjustment,2011-07-07 13:51,-50,0.0
Manual Adjustment,2011-07-07 15:57,72,0.0
Manual Adjustment,2011-07-08 10:37,-300,0.0
Manual Adjustment,2011-07-08 10:40,-39,0.0
Manual Adjustment,2011-07-11 12:57,-124,0.0
Manual Adjustment,2011-07-14 10:21,-251,0.0
Manual Adjustment,2011-07-14 14:27,-3100,0.0
Manual Adjustment,2011-07-14 14:28,3100,0.0
Manual Adjustment,2011-07-15 15:12,30,0.0
Manual Adjustment,2011-07-18 08:32,24,0.0
Manual Adjustment,2011-07-18 11:00,63,0.0
Manual Adjustment,2011-07-18 11:07,6,0.0
Manual Adjustment,2011-07-18 11:46,26,0.0
Manual Adjustment,2011-07-19 13:44,160,0.0
Manual Adjustment,2011-07-20 13:28,-3,0.0
Manual Adjustment,2011-07-25 11:23,-32,0.0
Manual Adjustment,2011-07-26 11:51,-4,0.0
Manual Adjustment,2011-07-26 11:52,-26,0.0
Manual Adjustment,2011-07-26 11:53,-7,0.0
Manual Adjustment,2011-07-26 12:24,1,0.0
Manual Adjustment,2011-07-26 13:50,-227,0.0
Manual Adjustment,2011-07-28 16:40,-108,0.0
Manual Adjustment,2011-07-28 16:55,142,0.0
Manual Adjustment,2011-07-28 17:09,11,0.0
Manual Adjustment,2011-08-01 11:44,1,0.0
Manual Adjustment,2011-08-01 12:10,-52,0.0
Manual Adjustment,2011-08-01 12:49,-1060,0.0
Manual Adjustment,2011-08-03 12:08,-94,0.0
Manual Adjustment,2011-08-04 10:27,-342,0.0
Manual Adjustment,2011-08-04 13:12,-59,0.0
Manual Adjustment,2011-08-04 15:36,-40,0.0
Manual Adjustment,2011-08-04 15:37,-90,0.0
Manual Adjustment,2011-08-05 15:46,-110,0.0
Manual Adjustment,2011-08-11 11:42,240,0.0
Manual Adjustment,2011-08-11 12:24,380,0.0
Manual Adjustment,2011-08-16 14:34,-24,0.0
Manual Adjustment,2011-08-24 10:20,20,0.0
Manual Adjustment,2011-08-25 14:57,47,0.0
Manual Adjustment,2011-08-26 13:38,44,0.0
Manual Adjustment,2011-08-26 14:19,576,0.0
Manual Adjustment,2011-08-31 12:40,-109,0.0
Manual Adjustment,2011-09-02 11:43,101,0.0
Manual Adjustment,2011-09-02 12:04,-967,0.0
Manual Adjustment,2011-09-02 12:06,-203,0.0
Manual Adjustment,2011-09-02 12:16,-156,0.0
Manual Adjustment,2011-09-02 12:20,-695,0.0
Manual Adjustment,2011-09-02 12:22,-432,0.0
Manual Adjustment,2011-09-02 12:26,-1897,0.0
Manual Adjustment,2011-09-02 15:04,-46,0.0
Manual Adjustment,2011-09-02 15:46,-434,0.0
Manual Adjustment,2011-09-08 10:46,-8,0.0
Manual Adjustment,2011-09-08 15:53,1,0.0
Manual Adjustment,2011-09-09 10:57,-484,0.0
Manual Adjustment,2011-09-12 12:03,37,0.0
Manual Adjustment,2011-09-12 12:13,4,0.0
Manual Adjustment,2011-09-12 16:07,-140,0.0
Manual Adjustment,2011-09-13 09:01,2,0.0
Manual Adjustment,2011-09-13 09:03,1,0.0
Manual Adjustment,2011-09-13 13:10,-22,0.0
Manual Adjustment,2011-09-13 13:14,22,0.0
Manual Adjustment,2011-09-14 12:04,-635,0.0
Manual Adjustment,2011-09-16 10:15,1,0.0
Manual Adjustment,2011-09-16 10:16,1,0.0
Manual Adjustment,2011-09-16 13:39,-29,0.0
Manual Adjustment,2011-09-16 13:49,-2,0.0
Manual Adjustment,2011-09-16 14:01,-48,0.0
Manual Adjustment,2011-09-16 14:05,24,0.0
Manual Adjustment,2011-09-16 14:13,192,0.0
Manual Adjustment,2011-09-16 14:14,-384,0.0
Manual Adjustment,2011-09-16 14:17,50,0.0
Manual Adjustment,2011-09-16 14:39,600,0.0
Manual Adjustment,2011-09-16 15:02,-14,0.0
Manual Adjustment,2011-09-16 15:29,-53,0.0
Manual Adjustment,2011-09-16 15:58,3,0.0
Manual Adjustment,2011-09-19 10:28,110,0.0
Manual Adjustment,2011-09-21 13:21,-752,0.0
Manual Adjustment,2011-09-21 17:26,-250,0.0
Manual Adjustment,2011-09-22 17:20,-1,0.0
Manual Adjustment,2011-09-22 17:21,5,0.0
Manual Adjustment,2011-09-22 17:24,-9,0.0
Manual Adjustment,2011-09-22 17:26,-2,0.0
Manual Adjustment,2011-09-22 17:27,1,0.0
Manual Adjustment,2011-09-22 17:28,-3,0.0
Manual Adjustment,2011-09-22 17:38,-11,0.0
Manual Adjustment,2011-09-22 17:49,-30,0.0
Manual Adjustment,2011-09-25 12:22,1,0.0
Manual Adjustment,2011-09-26 12:46,-121,0.0
Manual Adjustment,2011-09-27 09:46,1,0.0
Manual Adjustment,2011-09-27 10:30,-35,0.0
Manual Adjustment,2011-09-27 11:31,-131,0.0
Manual Adjustment,2011-09-27 18:41,460,0.0
Manual Adjustment,2011-09-28 16:27,-21,0.0
Manual Adjustment,2011-09-29 15:01,89,0.0
Manual Adjustment,2011-09-29 15:13,120,0.0
Manual Adjustment,2011-09-30 12:09,-231,0.0
Manual Adjustment,2011-09-30 13:49,-5,0.0
Manual Adjustment,2011-10-03 11:15,-14,0.0
Manual Adjustment,2011-10-03 13:57,-15,0.0
Manual Adjustment,2011-10-03 14:19,-458,0.0
Manual Adjustment,2011-10-04 11:39,192,0.0
Manual Adjustment,2011-10-04 11:40,-1440,0.0
Manual Adjustment,2011-10-04 11:41,-1440,0.0
Manual Adjustment,2011-10-04 11:42,-2880,0.0
Manual Adjustment,2011-10-05 12:59,22,0.0
Manual Adjustment,2011-10-06 08:17,2,0.0
Manual Adjustment,2011-10-06 12:38,0,0.0
Manual Adjustment,2011-10-06 14:26,-430,0.0
Manual Adjustment,2011-10-06 14:27,-30,0.0
Manual Adjustment,2011-10-06 15:06,-32,0.0
Manual Adjustment,2011-10-06 15:07,-45,0.0
Manual Adjustment,2011-10-06 15:08,-28,0.0
Manual Adjustment,2011-10-06 15:12,-380,0.0
Manual Adjustment,2011-10-06 15:13,-5,0.0
Manual Adjustment,2011-10-06 15:14,-18,0.0
Manual Adjustment,2011-10-06 15:16,-12,0.0
Manual Adjustment,2011-10-06 15:24,-60,0.0
Manual Adjustment,2011-10-07 12:27,-74,0.0
Manual Adjustment,2011-10-07 12:29,-84,0.0
Manual Adjustment,2011-10-07 14:56,-192,0.0
Manual Adjustment,2011-10-07 15:32,-125,0.0
Manual Adjustment,2011-10-10 12:00,-25,0.0
Manual Adjustment,2011-10-10 12:45,-61,0.0
Manual Adjustment,2011-10-10 14:31,-40,0.0
Manual Adjustment,2011-10-11 11:47,-94,0.0
Manual Adjustment,2011-10-11 11:48,-38,0.0
Manual Adjustment,2011-10-11 12:00,-365,0.0
Manual Adjustment,2011-10-11 16:44,-110,0.0
Manual Adjustment,2011-10-12 10:14,-45,0.0
Manual Adjustment,2011-10-12 10:15,-90,0.0
Manual Adjustment,2011-10-12 12:52,24,0.0
Manual Adjustment,2011-10-12 15:25,44,0.0
Manual Adjustment,2011-10-12 16:41,-40,0.0
Manual Adjustment,2011-10-12 16:42,-4,0.0
Manual Adjustment,2011-10-13 12:18,-270,0.0
Manual Adjustment,2011-10-13 12:50,1,0.0
Manual Adjustment,2011-10-13 17:36,-65,0.0
Manual Adjustment,2011-10-13 17:46,-49,0.0
Manual Adjustment,2011-10-14 09:36,-306,0.0
Manual Adjustment,2011-10-14 09:53,-50,0.0
Manual Adjustment,2011-10-14 10:03,54,0.0
Manual Adjustment,2011-10-14 10:05,-37,0.0
Manual Adjustment,2011-10-14 10:13,-51,0.0
Manual Adjustment,2011-10-14 17:07,-2,0.0
Manual Adjustment,2011-10-17 14:02,-2,0.0
Manual Adjustment,2011-10-17 14:03,-80,0.0
Manual Adjustment,2011-10-18 11:27,100,0.0
Manual Adjustment,2011-10-18 14:22,-40,0.0
Manual Adjustment,2011-10-18 14:23,-46,0.0
Manual Adjustment,2011-10-18 15:15,4,0.0
Manual Adjustment,2011-10-19 15:34,-32,0.0
Manual Adjustment,2011-10-24 10:53,100,0.0
Manual Adjustment,2011-10-24 13:30,-160,0.0
Manual Adjustment,2011-10-24 13:39,6,0.0
Manual Adjustment,2011-10-24 13:44,-100,0.0
Manual Adjustment,2011-10-24 14:27,1,0.0
Manual Adjustment,2011-10-24 14:45,-71,0.0
Manual Adjustment,2011-10-24 15:35,-46,0.0
Manual Adjustment,2011-10-24 17:01,0,0.0
Manual Adjustment,2011-10-24 17:44,-29,0.0
Manual Adjustment,2011-10-25 11:38,5,0.0
Manual Adjustment,2011-10-25 11:39,-5,0.0
Manual Adjustment,2011-10-25 14:00,-20,0.0
Manual Adjustment,2011-10-25 14:01,-60,0.0
Manual Adjustment,2011-10-25 14:03,-30,0.0
Manual Adjustment,2011-10-25 14:05,-30,0.0
Manual Adjustment,2011-10-25 14:13,-50,0.0
Manual Adjustment,2011-10-25 14:14,-111,0.0
Manual Adjustment,2011-10-25 14:15,-15,0.0
Manual Adjustment,2011-10-25 14:16,-82,0.0
Manual Adjustment,2011-10-25 14:20,-78,0.0
Manual Adjustment,2011-10-25 14:24,6,0.0
Manual Adjustment,2011-10-25 14:25,1,0.0
Manual Adjustment,2011-10-25 14:31,-840,0.0
Manual Adjustment,2011-10-25 14:33,-184,0.0
Manual Adjustment,2011-10-25 15:13,12,0.0
Manual Adjustment,2011-10-25 15:14,61,0.0
Manual Adjustment,2011-10-25 15:44,16,0.0
Manual Adjustment,2011-10-25 15:45,1,0.0
Manual Adjustment,2011-10-25 16:50,-103,0.0
Manual Adjustment,2011-10-25 16:52,-335,0.0
Manual Adjustment,2011-10-26 14:14,0,0.0
Manual Adjustment,2011-10-26 14:36,5,0.0
Manual Adjustment,2011-10-26 16:49,-17,0.0
Manual Adjustment,2011-10-26 16:52,117,0.0
Manual Adjustment,2011-10-27 11:22,-34,0.0
Manual Adjustment,2011-10-27 15:06,10,0.0
Manual Adjustment,2011-10-27 15:36,1000,0.0
Manual Adjustment,2011-10-27 15:37,-1000,0.0
Manual Adjustment,2011-10-27 16:19,-1,0.0
Manual Adjustment,2011-10-28 09:56,1,0.0
Manual Adjustment,2011-10-28 09:59,71,0.0
Manual Adjustment,2011-10-28 12:18,-46,0.0
Manual Adjustment,2011-10-28 12:19,-36,0.0
Manual Adjustment,2011-10-28 12:20,-77,0.0
Manual Adjustment,2011-10-28 15:14,10,0.0
Manual Adjustment,2011-10-31 10:56,-70,0.0
Manual Adjustment,2011-10-31 11:20,-54,0.0
Manual Adjustment,2011-10-31 11:46,-19,0.0
Manual Adjustment,2011-10-31 11:48,-36,0.0
Manual Adjustment,2011-10-31 11:55,-59,0.0
Manual Adjustment,2011-10-31 11:56,-54,0.0
Manual Adjustment,2011-10-31 11:57,-118,0.0
Manual Adjustment,2011-10-31 11:58,184,0.0
Manual Adjustment,2011-10-31 12:00,-160,0.0
Manual Adjustment,2011-10-31 12:01,-164,0.0
Manual Adjustment,2011-10-31 12:03,-80,0.0
Manual Adjustment,2011-10-31 12:09,-22,0.0
Manual Adjustment,2011-10-31 13:21,-70,0.0
Manual Adjustment,2011-10-31 15:15,-2328,0.0
Manual Adjustment,2011-10-31 15:16,-5779,0.0
Manual Adjustment,2011-10-31 15:17,-5504,0.0
Manual Adjustment,2011-10-31 15:18,-2033,0.0
Manual Adjustment,2011-10-31 16:07,48,0.0
Manual Adjustment,2011-10-31 17:02,-28,0.0
Manual Adjustment,2011-10-31 17:04,-126,0.0
Manual Adjustment,2011-10-31 17:18,-67,0.0
Manual Adjustment,2011-10-31 17:19,-26,0.0
Manual Adjustment,2011-11-01 09:33,10,0.0
Manual Adjustment,2011-11-01 09:34,-90,0.0
Manual Adjustment,2011-11-01 11:31,-3,0.0
Manual Adjustment,2011-11-01 11:32,-10,0.0
Manual Adjustment,2011-11-01 13:21,48,0.0
Manual Adjustment,2011-11-01 13:22,108,0.0
Manual Adjustment,2011-11-01 13:23,48,0.0
Manual Adjustment,2011-11-01 13:24,32,0.0
Manual Adjustment,2011-11-01 13:25,20,0.0
Manual Adjustment,2011-11-01 13:26,40,0.0
Manual Adjustment,2011-11-01 17:39,-23,0.0
Manual Adjustment,2011-11-01 18:00,14,0.0
Manual Adjustment,2011-11-02 09:52,65,0.0
Manual Adjustment,2011-11-02 11:02,36,0.0
Manual Adjustment,2011-11-02 11:03,4,0.0
Manual Adjustment,2011-11-02 11:05,26,0.0
Manual Adjustment,2011-11-02 11:08,3,0.0
Manual Adjustment,2011-11-02 11:09,4,0.0
Manual Adjustment,2011-11-02 11:13,19,0.0
Manual Adjustment,2011-11-02 11:14,4,0.0
Manual Adjustment,2011-11-02 11:18,1,0.0
Manual Adjustment,2011-11-02 11:19,36,0.0
Manual Adjustment,2011-11-03 09:46,-80,0.0
Manual Adjustment,2011-11-03 10:55,-111,0.0
Manual Adjustment,2011-11-03 11:26,216,0.0
Manual Adjustment,2011-11-03 11:45,-130,0.0
Manual Adjustment,2011-11-03 11:46,-42,0.0
Manual Adjustment,2011-11-03 11:47,12,0.0
Manual Adjustment,2011-11-03 11:48,-39,0.0
Manual Adjustment,2011-11-03 12:00,-40,0.0
Manual Adjustment,2011-11-03 13:24,1,0.0
Manual Adjustment,2011-11-04 11:35,27,0.0
Manual Adjustment,2011-11-04 11:55,12,0.0
Manual Adjustment,2011-11-04 17:09,-320,0.0
Manual Adjustment,2011-11-04 17:14,-203,0.0
Manual Adjustment,2011-11-04 17:44,-35,0.0
Manual Adjustment,2011-11-04 17:45,-62,0.0
Manual Adjustment,2011-11-04 17:46,-166,0.0
Manual Adjustment,2011-11-07 10:08,-54,0.0
Manual Adjustment,2011-11-07 10:37,-1560,0.0
Manual Adjustment,2011-11-07 10:38,-1284,0.0
Manual Adjustment,2011-11-07 13:22,2,0.0
Manual Adjustment,2011-11-07 15:30,-81,0.0
Manual Adjustment,2011-11-07 16:34,2,0.0
Manual Adjustment,2011-11-08 12:12,-15,0.0
Manual Adjustment,2011-11-08 18:07,84,0.0
Manual Adjustment,2011-11-09 12:15,-39,0.0
Manual Adjustment,2011-11-10 10:53,22,0.0
Manual Adjustment,2011-11-10 11:49,44,0.0
Manual Adjustment,2011-11-10 12:47,-6,0.0
Manual Adjustment,2011-11-10 12:48,-10,0.0
Manual Adjustment,2011-11-10 12:51,-130,0.0
Manual Adjustment,2011-11-10 12:53,-90,0.0
Manual Adjustment,2011-11-10 13:20,-3,0.0
Manual Adjustment,2011-11-10 17:00,-63,0.0
Manual Adjustment,2011-11-10 17:55,-64,0.0
Manual Adjustment,2011-11-10 17:58,-36,0.0
Manual Adjustment,2011-11-10 18:00,-21,0.0
Manual Adjustment,2011-11-10 18:02,-42,0.0
Manual Adjustment,2011-11-10 18:08,24,0.0
Manual Adjustment,2011-11-10 18:09,-8,0.0
Manual Adjustment,2011-11-10 18:19,-256,0.0
Manual Adjustment,2011-11-10 18:20,-256,0.0
Manual Adjustment,2011-11-11 10:21,1,0.0
Manual Adjustment,2011-11-11 15:52,-10,0.0
Manual Adjustment,2011-11-11 16:02,-220,0.0
Manual Adjustment,2011-11-11 16:20,-7,0.0
Manual Adjustment,2011-11-14 10:33,180,0.0
Manual Adjustment,2011-11-14 11:25,-130,0.0
Manual Adjustment,2011-11-14 13:50,-74,0.0
Manual Adjustment,2011-11-14 18:30,-50,0.0
Manual Adjustment,2011-11-14 18:31,-65,0.0
Manual Adjustment,2011-11-14 18:33,-864,0.0
Manual Adjustment,2011-11-14 18:35,-288,0.0
Manual Adjustment,2011-11-15 11:18,-57,0.0
Manual Adjustment,2011-11-15 11:20,-133,0.0
Manual Adjustment,2011-11-15 11:21,-8,0.0
Manual Adjustment,2011-11-15 11:23,-23,0.0
Manual Adjustment,2011-11-15 11:24,236,0.0
Manual Adjustment,2011-11-15 11:27,-26,0.0
Manual Adjustment,2011-11-16 08:55,10,0.0
Manual Adjustment,2011-11-16 10:00,6,0.0
