InvoiceNo;StockCode;Description;Quantity_returned;InvoiceDate;UnitPrice;CustomerID;Country;Category;Return Rate;Quantity_sold
C536625;22839;3 TIER CAKE TIN GREEN AND CREAM;-2;12/02/2010 10:46;14.95;14766.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.4618937644341801;433
C536642;21463;MIRRORED DISCO BALL ;-1;12/02/2010 11:56;5.95;14390.0;United Kingdom;Color, Sports Equipment, Home Goods;-0.16420361247947454;609
C536734;22780;LIGHT GARLAND BUTTERFILES PINK;-4;12/02/2010 12:50;4.25;16042.0;United Kingdom;Color, Home Goods;-0.3028009084027252;1321
C536734;85048;15CM CHRISTMAS GLASS BALL 20 LIGHTS;-1;12/02/2010 12:50;7.95;16042.0;United Kingdom;Seasonal products, Sports Equipment, Home Goods;-0.07587253414264036;1318
C536737;22798;ANTIQUE GLASS DRESSING TABLE POT;-2;12/02/2010 13:05;2.95;15922.0;United Kingdom;Clothing, Home Goods;-0.11402508551881414;1754
C536757;84347;ROTATING SILVER ANGELS T-LIGHT HLDR;-9360;12/02/2010 14:23;0.03;15838.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;-9360.0;100
C536758;21314;SMALL GLASS HEART TRINKET POT;-1;12/02/2010 14:25;2.1;13767.0;United Kingdom;Size, Home Goods;-0.024313153415998056;4113
C536760;22175;PINK OWL SOFT TOY;-1;12/02/2010 14:29;2.95;17547.0;United Kingdom;Color;-0.11402508551881414;877
C536760;22273;FELTCRAFT DOLL MOLLY;-3;12/02/2010 14:29;2.95;17547.0;United Kingdom;Toys, Home Goods, Stationary;-0.097815454841865;3067
C536807;22501;PICNIC BASKET WICKER LARGE;-2;12/02/2010 16:45;9.95;15834.0;United Kingdom;Size;-0.13271400132714;1507
C536807;22778;GLASS CLOCHE SMALL;-1;12/02/2010 16:45;3.95;15834.0;United Kingdom;Size, Home Goods;-0.13477088948787064;742
C536812;22578;WOODEN STAR CHRISTMAS SCANDINAVIAN;-36;12/02/2010 16:58;0.85;16546.0;United Kingdom;Seasonal products, Home Goods;-0.3485332558814987;10329
C536812;22574;HEART WOODEN CHRISTMAS DECORATION;-192;12/02/2010 16:58;0.72;16546.0;United Kingdom;Seasonal products, Home Goods;-8.955223880597014;2144
C536812;22593;CHRISTMAS GINGHAM STAR;-144;12/02/2010 16:58;0.72;16546.0;United Kingdom;Seasonal products, Home Goods;-6.789250353606789;2121
C536812;22595;CHRISTMAS GINGHAM HEART;-144;12/02/2010 16:58;0.72;16546.0;United Kingdom;Seasonal products, Home Goods;-28.51485148514851;505
C536812;22588;CARD HOLDER GINGHAM HEART;-192;12/02/2010 16:58;2.1;16546.0;United Kingdom;Kitchen Appliances, Home Goods, Stationary;-39.02439024390244;492
C536812;22130;PARTY CONE CHRISTMAS DECORATION ;-144;12/02/2010 16:58;0.72;16546.0;United Kingdom;Seasonal products, Home Goods;-6.75422138836773;2132
C536814;21527;RED RETROSPOT TRADITIONAL TEAPOT ;-2;12/02/2010 17:03;7.95;13958.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.44742729306487694;447
C536814;72799E;IVORY PILLAR CANDLE SILVER FLOCK;-6;12/02/2010 17:03;2.95;13958.0;United Kingdom;Home Goods, Accessories;-1.345291479820628;446
C536814;85066;CREAM SWEETHEART MINI CHEST;-2;12/02/2010 17:03;12.75;13958.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;-0.1142204454597373;1751
C536814;21586;KINGS CHOICE GIANT TUBE MATCHES;-12;12/02/2010 17:03;2.55;13958.0;United Kingdom;Other;-1.643835616438356;730
C536814;21258;VICTORIAN SEWING BOX LARGE;-1;12/02/2010 17:03;12.75;13958.0;United Kingdom;Size;-0.21097046413502107;474
C536815;85175;CACTI T-LIGHT CANDLES;-1;12/02/2010 17:05;0.42;14443.0;United Kingdom;Home Goods;-0.019029495718363463;5255
C536815;22178;VICTORIAN GLASS HANGING T-LIGHT;-1;12/02/2010 17:05;1.25;14443.0;United Kingdom;Home Goods;-0.004192169028255219;23854
C536816;21129;SILVER FISHING GNOME ;-2;12/02/2010 17:06;6.95;14443.0;United Kingdom;Accessories;-4.0;50
C536817;22187;GREEN CHRISTMAS TREE CARD HOLDER;-1;12/02/2010 17:08;4.25;14156.0;EIRE;Kitchen Appliances, Color, Stationary, Seasonal products, Home Goods;-0.07923930269413629;1262
C536817;71477;COLOUR GLASS. STAR T-LIGHT HOLDER;-1;12/02/2010 17:08;3.25;14156.0;EIRE;Kitchen Appliances, Home Goods;-0.021915406530791146;4563
C536818;84947;ANTIQUE SILVER TEA GLASS ENGRAVED;-1;12/02/2010 17:09;1.25;16995.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;-0.011528706479133042;8674
C536820;22877;NUMBER TILE COTTAGE GARDEN 9;-1;12/02/2010 17:14;1.95;18168.0;United Kingdom;Home Goods, Stationary;-1.6129032258064515;62
C536820;22869;NUMBER TILE COTTAGE GARDEN 1;-1;12/02/2010 17:14;1.95;18168.0;United Kingdom;Home Goods, Stationary;-1.0526315789473684;95
C536820;22878;NUMBER TILE COTTAGE GARDEN No;-1;12/02/2010 17:14;2.1;18168.0;United Kingdom;Home Goods, Stationary;-1.3513513513513513;74
C536820;21843;RED RETROSPOT CAKE STAND;-1;12/02/2010 17:14;10.95;18168.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.05913660555884093;1691
C536822;22847;BREAD BIN DINER STYLE IVORY;-2;12/02/2010 17:19;16.95;14625.0;United Kingdom;Accessories;-0.23228803716608595;861
C536822;21430;SET/3 RED GINGHAM ROSE STORAGE BOX;-1;12/02/2010 17:19;3.75;14625.0;United Kingdom;Color, Home Goods, Gifts Jewelry;-0.03334444814938312;2999
C536825;22617;BAKING SET SPACEBOY DESIGN;-1;12/02/2010 17:27;4.95;15384.0;United Kingdom;Toys, Home Goods;-0.04585052728106373;2181
C536825;22197;SMALL POPCORN HOLDER;-2;12/02/2010 17:27;0.85;15384.0;United Kingdom;Size, Kitchen Appliances, Home Goods;-0.009942334460131238;20116
C536826;35004B;SET OF 3 BLACK FLYING DUCKS;-2;12/02/2010 17:30;4.65;17924.0;United Kingdom;Color, Home Goods;-0.3656307129798903;547
C536826;35004B;SET OF 3 BLACK FLYING DUCKS;-3;12/02/2010 17:30;4.65;17924.0;United Kingdom;Color, Home Goods;-0.5484460694698354;547
C536827;21527;RED RETROSPOT TRADITIONAL TEAPOT ;-3;12/02/2010 17:31;6.95;13408.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.6711409395973155;447
C536828;22832;BROCANTE SHELF WITH HOOKS;-1;12/02/2010 17:35;10.75;14264.0;United Kingdom;Home Goods;-0.6451612903225806;155
C536828;84946;ANTIQUE SILVER TEA GLASS ETCHED;-3;12/02/2010 17:35;1.25;14264.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;-0.06609385327164573;4539
C536829;71477;COLOUR GLASS. STAR T-LIGHT HOLDER;-1;12/02/2010 17:36;3.25;13295.0;United Kingdom;Kitchen Appliances, Home Goods;-0.021915406530791146;4563
C536850;22942;CHRISTMAS LIGHTS 10 SANTAS ;-48;12/03/2010 09:47;7.65;14213.0;United Kingdom;Seasonal products, Home Goods;-9.00562851782364;533
C536850;22689;DOORMAT MERRY CHRISTMAS RED ;-50;12/03/2010 09:47;6.75;14213.0;United Kingdom;Seasonal products, Color, Home Goods;-8.012820512820513;624
C536850;22591;CARDHOLDER GINGHAM CHRISTMAS TREE;-50;12/03/2010 09:47;2.55;14213.0;United Kingdom;Kitchen Appliances, Seasonal products, Home Goods, Stationary;-14.124293785310735;354
C536850;22580;ADVENT CALENDAR GINGHAM SACK;-48;12/03/2010 09:47;4.95;14213.0;United Kingdom;Other;-3.821656050955414;1256
C536850;22186;RED STAR CARD HOLDER;-48;12/03/2010 09:47;2.55;14213.0;United Kingdom;Kitchen Appliances, Color, Home Goods, Stationary;-6.037735849056604;795
C536853;84678;CLASSICAL ROSE SMALL VASE;-1;12/03/2010 10:07;2.55;14679.0;United Kingdom;Size, Home Goods, Gifts Jewelry;-0.7194244604316548;139
C536854;22158;3 HEARTS HANGING DECORATION RUSTIC;-1;12/03/2010 10:09;2.95;15240.0;United Kingdom;Home Goods;-0.029086678301337987;3438
C536854;22944;CHRISTMAS METAL POSTCARD WITH BELLS;-1;12/03/2010 10:09;1.25;15240.0;United Kingdom;Seasonal products, Home Goods, Stationary;-0.0297441998810232;3362
C536854;21871;SAVE THE PLANET MUG;-1;12/03/2010 10:09;1.25;15240.0;United Kingdom;Kitchen Appliances, Home Goods;-0.020968756552736424;4769
C536855;21527;RED RETROSPOT TRADITIONAL TEAPOT ;-4;12/03/2010 10:11;7.95;18225.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.8948545861297539;447
C536978;22776;SWEETHEART CAKESTAND 3 TIER;-1;12/03/2010 14:19;9.95;17954.0;United Kingdom;Kitchen Appliances, Home Goods;-0.11235955056179776;890
C536979;84685;BEACH HUT KEY CABINET;-1;12/03/2010 14:23;3.75;17841.0;United Kingdom;Accessories;-3.0303030303030303;33
C536979;22630;DOLLY GIRL LUNCH BOX;-1;12/03/2010 14:23;1.95;17841.0;United Kingdom;Toys;-0.008682062858135092;11518
C537024;20893;HANGING BAUBLE T-LIGHT HOLDER SMALL;-36;12/03/2010 16:21;2.1;13941.0;United Kingdom;Size, Kitchen Appliances, Home Goods;-15.450643776824036;233
C537039;22854;CREAM SWEETHEART EGG HOLDER;-1;12/05/2010 10:25;4.95;15708.0;United Kingdom;Kitchen Appliances, Home Goods;-0.13089005235602094;764
C537039;20936;FORKED CACTUS CANDLE;-1;12/05/2010 10:25;2.95;15708.0;United Kingdom;Home Goods;-1.0101010101010102;99
C537039;85175;CACTI T-LIGHT CANDLES;-1;12/05/2010 10:25;0.42;15708.0;United Kingdom;Home Goods;-0.019029495718363463;5255
C537043;22575;METAL MERRY CHRISTMAS WREATH;-6;12/05/2010 10:48;1.95;15351.0;United Kingdom;Seasonal products, Home Goods;-0.9478672985781991;633
C537043;11001;ASSTD DESIGN RACING CAR PEN;-1;12/05/2010 10:48;1.69;15351.0;United Kingdom;Home Goods;-0.06993006993006994;1430
C537132;22788;BROCANTE COAT RACK;-2;12/05/2010 12:29;8.5;15221.0;United Kingdom;Other;-0.9345794392523363;214
C537132;22184;CAKE STAND VICTORIAN FILIGREE LARGE;-1;12/05/2010 12:29;8.5;15221.0;United Kingdom;Kitchen Appliances, Size;-1.8518518518518516;54
C537132;71279;PINK GLASS CANDLEHOLDER;-2;12/05/2010 12:29;2.95;15221.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-1.1695906432748537;171
C537132;22761;CHEST 7 DRAWER MA CAMPAGNE;-2;12/05/2010 12:29;21.95;15221.0;United Kingdom;Home Goods;-5.88235294117647;34
C537132;22769;CHALKBOARD KITCHEN ORGANISER;-8;12/05/2010 12:29;21.95;15221.0;United Kingdom;Kitchen Appliances, Home Goods, Stationary;-800.0;1
C537132;22762;CUPBOARD 3 DRAWER MA CAMPAGNE;-3;12/05/2010 12:29;12.75;15221.0;United Kingdom;Kitchen Appliances, Home Goods;-1.9607843137254901;153
C537143;20685;DOORMAT RED RETROSPOT;-1;12/05/2010 12:58;7.95;12748.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.024832381425378695;4027
C537157;35953;FOLKART STAR CHRISTMAS DECORATIONS;-24;12/05/2010 13:09;1.25;15880.0;United Kingdom;Seasonal products, Home Goods;-0.6745362563237773;3558
C537203;37449;CERAMIC CAKE STAND + HANGING CAKES;-1;12/05/2010 14:44;9.95;14606.0;United Kingdom;Kitchen Appliances, Home Goods;-0.19455252918287938;514
C537203;21424;WOODLAND STORAGE BOX LARGE ;-1;12/05/2010 14:44;2.95;14606.0;United Kingdom;Size;-0.2932551319648094;341
C537232;84840;SWEETHEART CARRY-ALL BASKET;-2;12/06/2010 09:31;8.5;12586.0;Italy;Home Goods;-50.0;4
C537234;22653;BUTTON BOX ;-20;12/06/2010 09:40;1.95;16161.0;United Kingdom;Other;-1.0828370330265296;1847
C537251;22429;ENAMEL MEASURING JUG CREAM;-2;12/06/2010 10:45;4.25;;United Kingdom;Kitchen Appliances, Accessories;-0.16142050040355124;1239
C537251;22620;4 TRADITIONAL SPINNING TOPS;-8;12/06/2010 10:45;1.25;;United Kingdom;Other;-0.1637666325486182;4885
C537251;21890;S/6 WOODEN SKITTLES IN COTTON BAG;-2;12/06/2010 10:45;2.95;;United Kingdom;Home Goods, Accessories;-0.17452006980802792;1146
C537251;22564;ALPHABET STENCIL CRAFT;-5;12/06/2010 10:45;1.25;;United Kingdom;Stationary;-0.22075055187637968;2265
C537251;21891;TRADITIONAL WOODEN SKIPPING ROPE;-3;12/06/2010 10:45;1.25;;United Kingdom;Home Goods;-0.037037037037037035;8100
C537251;22747;POPPY'S PLAYHOUSE BATHROOM;-6;12/06/2010 10:45;2.1;;United Kingdom;Home Goods;-0.6309148264984227;951
C537251;22454;MEASURING TAPE BABUSHKA RED;-8;12/06/2010 10:45;2.95;;United Kingdom;Color, Accessories, Stationary;-2.8368794326241136;282
C537251;22327;ROUND SNACK BOXES SET OF 4 SKULLS;-4;12/06/2010 10:45;2.95;;United Kingdom;Home Goods;-0.34334763948497854;1165
C537251;21915;RED  HARMONICA IN BOX ;-4;12/06/2010 10:45;1.25;;United Kingdom;Color;-0.018293240647580717;21866
C537251;84347;ROTATING SILVER ANGELS T-LIGHT HLDR;-9;12/06/2010 10:45;2.55;;United Kingdom;Kitchen Appliances, Home Goods, Accessories;-9.0;100
C537251;22748;POPPY'S PLAYHOUSE KITCHEN;-4;12/06/2010 10:45;2.1;;United Kingdom;Kitchen Appliances, Home Goods;-0.18975332068311196;2108
C537251;22943;CHRISTMAS LIGHTS 10 VINTAGE BAUBLES;-6;12/06/2010 10:45;4.95;;United Kingdom;Seasonal products, Home Goods, Stationary;-0.45214770158251694;1327
C537251;22418;10 COLOUR SPACEBOY PEN;-7;12/06/2010 10:45;0.85;;United Kingdom;Toys;-0.1095118898623279;6392
C537251;22911;PAPER CHAIN KIT LONDON;-2;12/06/2010 10:45;2.95;;United Kingdom;Stationary;-0.43668122270742354;458
C537251;22940;FELTCRAFT CHRISTMAS FAIRY;-5;12/06/2010 10:45;4.25;;United Kingdom;Seasonal products, Home Goods, Stationary;-0.26371308016877637;1896
C537251;22141;CHRISTMAS CRAFT TREE TOP ANGEL;-8;12/06/2010 10:45;2.1;;United Kingdom;Seasonal products, Stationary;-0.28776978417266186;2780
C537251;22328;ROUND SNACK BOXES SET OF 4 FRUITS ;-2;12/06/2010 10:45;2.95;;United Kingdom;Home Goods;-0.03231539828728389;6189
C537251;22536;MAGIC DRAWING SLATE PURDEY;-11;12/06/2010 10:45;0.42;;United Kingdom;Stationary;-0.2378892733564014;4624
C537251;21826;EIGHT PIECE DINOSAUR SET;-4;12/06/2010 10:45;1.25;;United Kingdom;Home Goods;-3.278688524590164;122
C537251;22466;FAIRY TALE COTTAGE NIGHTLIGHT;-3;12/06/2010 10:45;1.95;;United Kingdom;Home Goods, Stationary;-0.14360938247965532;2089
C537314;21349;IVY HEART WREATH;-4;12/06/2010 11:42;6.75;13497.0;United Kingdom;Home Goods;-28.57142857142857;14
C537333;22636;CHILDS BREAKFAST SET CIRCUS PARADE;-4;12/06/2010 12:00;8.5;12474.0;Germany;Home Goods;-0.7054673721340388;567
C537373;22423;REGENCY CAKESTAND 3 TIER;-1;12/06/2010 12:55;12.75;14487.0;United Kingdom;Kitchen Appliances;-0.007672830507174097;13033
C537379;22865;HAND WARMER OWL DESIGN;-10;12/06/2010 13:12;2.1;15882.0;United Kingdom;Home Goods;-0.11940298507462686;8375
C537383;21658;GLASS  BEURRE DISH;-1;12/06/2010 13:17;3.95;16550.0;United Kingdom;Home Goods;-0.11778563015312131;849
C537383;22197;SMALL POPCORN HOLDER;-1;12/06/2010 13:17;0.85;16550.0;United Kingdom;Size, Kitchen Appliances, Home Goods;-0.004971167230065619;20116
C537383;22371;AIRLINE BAG VINTAGE TOKYO 78;-1;12/06/2010 13:17;4.25;16550.0;United Kingdom;Accessories, Home Goods, Stationary;-0.09208103130755065;1086
C537402;22926;IVORY GIANT GARDEN THERMOMETER;-4;12/06/2010 14:43;5.95;15502.0;United Kingdom;Home Goods, Accessories;-0.6872852233676976;582
C537402;22927;GREEN GIANT GARDEN THERMOMETER;-4;12/06/2010 14:43;5.95;15502.0;United Kingdom;Color, Home Goods;-0.9615384615384616;416
C537402;22849;BREAD BIN DINER STYLE MINT;-4;12/06/2010 14:43;14.95;15502.0;United Kingdom;Other;-1.2903225806451613;310
C537402;22847;BREAD BIN DINER STYLE IVORY;-4;12/06/2010 14:43;14.95;15502.0;United Kingdom;Accessories;-0.4645760743321719;861
C537402;47580;TEA TIME DES TEA COSY;-6;12/06/2010 14:43;2.55;15502.0;United Kingdom;Kitchen Appliances;-1.5873015873015872;378
C537402;22196;SMALL HEART MEASURING SPOONS;-12;12/06/2010 14:43;0.85;15502.0;United Kingdom;Size, Home Goods, Accessories;-0.424929178470255;2824
C537406;22926;IVORY GIANT GARDEN THERMOMETER;-4;12/06/2010 14:53;5.95;15502.0;United Kingdom;Home Goods, Accessories;-0.6872852233676976;582
C537406;22927;GREEN GIANT GARDEN THERMOMETER;-4;12/06/2010 14:53;5.95;15502.0;United Kingdom;Color, Home Goods;-0.9615384615384616;416
C537406;22847;BREAD BIN DINER STYLE IVORY;-4;12/06/2010 14:53;14.95;15502.0;United Kingdom;Accessories;-0.4645760743321719;861
C537406;22849;BREAD BIN DINER STYLE MINT;-4;12/06/2010 14:53;14.95;15502.0;United Kingdom;Other;-1.2903225806451613;310
C537408;47580;TEA TIME DES TEA COSY;-6;12/06/2010 14:55;2.55;15502.0;United Kingdom;Kitchen Appliances;-1.5873015873015872;378
C537408;22196;SMALL HEART MEASURING SPOONS;-12;12/06/2010 14:55;0.85;15502.0;United Kingdom;Size, Home Goods, Accessories;-0.424929178470255;2824
C537413;22834;HAND WARMER BABUSHKA DESIGN;-72;12/06/2010 15:07;2.1;14409.0;United Kingdom;Home Goods;-1.5103838892385149;4767
C537414;22086;PAPER CHAIN KIT 50'S CHRISTMAS ;-6;12/06/2010 15:09;2.95;16861.0;United Kingdom;Seasonal products, Stationary;-0.03174267273304412;18902
C537416;22840;ROUND CAKE TIN VINTAGE RED;-1;12/06/2010 15:10;7.95;16138.0;United Kingdom;Kitchen Appliances, Color, Home Goods, Stationary;-0.11160714285714285;896
C537417;22960;JAM MAKING SET WITH JARS;-1;12/06/2010 15:12;4.25;13481.0;United Kingdom;Home Goods;-0.011806375442739079;8470
C537431;21755;LOVE BUILDING BLOCK WORD;-1;12/06/2010 16:10;5.95;16782.0;United Kingdom;Other;-0.04926108374384236;2030
C537444;22580;ADVENT CALENDAR GINGHAM SACK;-8;12/07/2010 08:42;5.95;14850.0;United Kingdom;Other;-0.6369426751592357;1256
C537445;22418;10 COLOUR SPACEBOY PEN;-11;12/07/2010 08:57;0.85;15021.0;United Kingdom;Toys;-0.172090112640801;6392
C537530;21527;RED RETROSPOT TRADITIONAL TEAPOT ;-1;12/07/2010 11:47;7.95;13319.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.22371364653243847;447
C537530;22726;ALARM CLOCK BAKELIKE GREEN;-2;12/07/2010 11:47;3.75;13319.0;United Kingdom;Color;-0.031308703819661866;6388
C537596;22968;ROSE COTTAGE KEEPSAKE BOX ;-2;12/07/2010 12:31;9.95;17954.0;United Kingdom;Stationary, Home Goods, Gifts Jewelry;-0.25806451612903225;775
C537602;85099B;JUMBO BAG RED RETROSPOT;-1;12/07/2010 12:45;1.65;17511.0;United Kingdom;Kitchen Appliances, Color, Home Goods, Accessories;-0.0021113527437028904;47363
C537602;21622;VINTAGE UNION JACK CUSHION COVER;-1;12/07/2010 12:45;4.95;17511.0;United Kingdom;Accessories, Home Goods, Stationary;-0.2717391304347826;368
C537602;22065;CHRISTMAS PUDDING TRINKET POT ;-1;12/07/2010 12:45;1.25;17511.0;United Kingdom;Seasonal products;-0.01483459427384661;6741
C537602;22061;LARGE CAKE STAND  HANGING STRAWBERY;-1;12/07/2010 12:45;8.5;17511.0;United Kingdom;Size, Kitchen Appliances, Home Goods;-0.1763668430335097;567
C537602;22654;DELUXE SEWING KIT ;-1;12/07/2010 12:45;4.95;17511.0;United Kingdom;Stationary;-0.0725163161711385;1379
C537602;85123A;WHITE HANGING HEART T-LIGHT HOLDER;-1;12/07/2010 12:45;2.55;17511.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.0028314975790695697;35317
C537602;22665;RECIPE BOX BLUE SKETCHBOOK DESIGN;-1;12/07/2010 12:45;2.95;17511.0;United Kingdom;Color, Home Goods, Stationary;-0.06657789613848203;1502
C537602;22197;SMALL POPCORN HOLDER;-1;12/07/2010 12:45;0.72;17511.0;United Kingdom;Size, Kitchen Appliances, Home Goods;-0.004971167230065619;20116
C537602;22659;LUNCH BOX I LOVE LONDON;-4;12/07/2010 12:45;1.65;17511.0;United Kingdom;Other;-0.03571109722346219;11201
C537602;22169;FAMILY ALBUM WHITE PICTURE FRAME;-1;12/07/2010 12:45;7.65;17511.0;United Kingdom;Color;-0.08576329331046312;1166
C537602;21843;RED RETROSPOT CAKE STAND;-1;12/07/2010 12:45;9.95;17511.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.05913660555884093;1691
C537602;22423;REGENCY CAKESTAND 3 TIER;-2;12/07/2010 12:45;10.95;17511.0;United Kingdom;Kitchen Appliances;-0.015345661014348195;13033
C537602;84050;PINK HEART SHAPE EGG FRYING PAN;-1;12/07/2010 12:45;1.25;17511.0;United Kingdom;Kitchen Appliances, Color, Home Goods;-0.031055900621118012;3220
C537602;22198;LARGE POPCORN HOLDER ;-1;12/07/2010 12:45;1.45;17511.0;United Kingdom;Size, Kitchen Appliances, Home Goods;-0.10183299389002036;982
C537611;22865;HAND WARMER OWL DESIGN;-36;12/07/2010 13:25;2.1;17675.0;United Kingdom;Home Goods;-0.4298507462686567;8375
C537656;21258;VICTORIAN SEWING BOX LARGE;-12;12/07/2010 16:21;10.95;15100.0;United Kingdom;Size;-2.5316455696202533;474
C537684;22301;COFFEE MUG CAT + BIRD DESIGN;-1;12/08/2010 10:18;2.55;14901.0;United Kingdom;Kitchen Appliances, Home Goods;-0.045372050816696916;2204
C537684;22730;ALARM CLOCK BAKELIKE IVORY;-1;12/08/2010 10:18;3.75;14901.0;United Kingdom;Accessories;-0.035211267605633804;2840
C537746;22156;HEART DECORATION WITH PEARLS ;-1;12/08/2010 11:03;0.85;15021.0;United Kingdom;Home Goods;-0.047778308647873864;2093
C537746;21558;SKULL LUNCH BOX WITH CUTLERY ;-1;12/08/2010 11:03;2.55;15021.0;United Kingdom;Other;-0.046860356138706656;2134
C537746;71477;COLOUR GLASS. STAR T-LIGHT HOLDER;-1;12/08/2010 11:03;3.25;15021.0;United Kingdom;Kitchen Appliances, Home Goods;-0.021915406530791146;4563
C537756;21914;BLUE HARMONICA IN BOX ;-24;12/08/2010 11:33;1.25;14952.0;United Kingdom;Color;-0.3060053550937141;7843
C537756;84949;SILVER HANGING T-LIGHT HOLDER;-8;12/08/2010 11:33;1.65;14952.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;-0.17628911414720141;4538
C537756;21275;ZINC TOP  2 DOOR WOODEN SHELF ;-4;12/08/2010 11:33;14.95;14952.0;United Kingdom;Home Goods;-50.0;8
