InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country;Category;Return Rate
C536815;22178;VICTORIAN GLASS HANGING T-LIGHT;-1;12/02/2010 17:05;1.25;14443.0;United Kingdom;Home Goods;
C536816;21129;SILVER FISHING GNOME ;-2;12/02/2010 17:06;6.95;14443.0;United Kingdom;Accessories;
C536817;22187;GREEN CHRISTMAS TREE CARD HOLDER;-1;12/02/2010 17:08;4.25;14156.0;EIRE;Kitchen Appliances, Color, Stationary, Seasonal products, Home Goods;
C536817;71477;COLOUR GLASS. STAR T-LIGHT HOLDER;-1;12/02/2010 17:08;3.25;14156.0;EIRE;Kitchen Appliances, Home Goods;
C536818;84947;ANTIQUE SILVER TEA GLASS ENGRAVED;-1;12/02/2010 17:09;1.25;16995.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;
C536820;22877;NUMBER TILE COTTAGE GARDEN 9;-1;12/02/2010 17:14;1.95;18168.0;United Kingdom;Home Goods, Stationary;
C536820;22869;NUMBER TILE COTTAGE GARDEN 1;-1;12/02/2010 17:14;1.95;18168.0;United Kingdom;Home Goods, Stationary;
C536820;22878;NUMBER TILE COTTAGE GARDEN No;-1;12/02/2010 17:14;2.1;18168.0;United Kingdom;Home Goods, Stationary;
C536820;21843;RED RETROSPOT CAKE STAND;-1;12/02/2010 17:14;10.95;18168.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C536822;22847;BREAD BIN DINER STYLE IVORY;-2;12/02/2010 17:19;16.95;14625.0;United Kingdom;Accessories;
C536822;21430;SET/3 RED GINGHAM ROSE STORAGE BOX;-1;12/02/2010 17:19;3.75;14625.0;United Kingdom;Color, Home Goods, Gifts Jewelry;
C536825;22617;BAKING SET SPACEBOY DESIGN;-1;12/02/2010 17:27;4.95;15384.0;United Kingdom;Toys, Home Goods;
C536825;22197;SMALL POPCORN HOLDER;-2;12/02/2010 17:27;0.85;15384.0;United Kingdom;Size, Kitchen Appliances, Home Goods;
C536826;35004B;SET OF 3 BLACK FLYING DUCKS;-2;12/02/2010 17:30;4.65;17924.0;United Kingdom;Color, Home Goods;
C536826;35004B;SET OF 3 BLACK FLYING DUCKS;-3;12/02/2010 17:30;4.65;17924.0;United Kingdom;Color, Home Goods;
C536827;21527;RED RETROSPOT TRADITIONAL TEAPOT ;-3;12/02/2010 17:31;6.95;13408.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C536828;22832;BROCANTE SHELF WITH HOOKS;-1;12/02/2010 17:35;10.75;14264.0;United Kingdom;Home Goods;
C536828;84946;ANTIQUE SILVER TEA GLASS ETCHED;-3;12/02/2010 17:35;1.25;14264.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;
C536829;71477;COLOUR GLASS. STAR T-LIGHT HOLDER;-1;12/02/2010 17:36;3.25;13295.0;United Kingdom;Kitchen Appliances, Home Goods;
C536850;22942;CHRISTMAS LIGHTS 10 SANTAS ;-48;12/03/2010 09:47;7.65;14213.0;United Kingdom;Seasonal products, Home Goods;
C536850;22689;DOORMAT MERRY CHRISTMAS RED ;-50;12/03/2010 09:47;6.75;14213.0;United Kingdom;Seasonal products, Color, Home Goods;
C536850;22591;CARDHOLDER GINGHAM CHRISTMAS TREE;-50;12/03/2010 09:47;2.55;14213.0;United Kingdom;Kitchen Appliances, Seasonal products, Home Goods, Stationary;
C536850;22580;ADVENT CALENDAR GINGHAM SACK;-48;12/03/2010 09:47;4.95;14213.0;United Kingdom;Other;
C536850;22186;RED STAR CARD HOLDER;-48;12/03/2010 09:47;2.55;14213.0;United Kingdom;Kitchen Appliances, Color, Home Goods, Stationary;
C536853;84678;CLASSICAL ROSE SMALL VASE;-1;12/03/2010 10:07;2.55;14679.0;United Kingdom;Size, Home Goods, Gifts Jewelry;
C536854;22158;3 HEARTS HANGING DECORATION RUSTIC;-1;12/03/2010 10:09;2.95;15240.0;United Kingdom;Home Goods;
C536854;22944;CHRISTMAS METAL POSTCARD WITH BELLS;-1;12/03/2010 10:09;1.25;15240.0;United Kingdom;Seasonal products, Home Goods, Stationary;
C536854;21871;SAVE THE PLANET MUG;-1;12/03/2010 10:09;1.25;15240.0;United Kingdom;Kitchen Appliances, Home Goods;
C536855;21527;RED RETROSPOT TRADITIONAL TEAPOT ;-4;12/03/2010 10:11;7.95;18225.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C536978;22776;SWEETHEART CAKESTAND 3 TIER;-1;12/03/2010 14:19;9.95;17954.0;United Kingdom;Kitchen Appliances, Home Goods;
C536979;84685;BEACH HUT KEY CABINET;-1;12/03/2010 14:23;3.75;17841.0;United Kingdom;Accessories;
C536979;22630;DOLLY GIRL LUNCH BOX;-1;12/03/2010 14:23;1.95;17841.0;United Kingdom;Toys;
C537024;20893;HANGING BAUBLE T-LIGHT HOLDER SMALL;-36;12/03/2010 16:21;2.1;13941.0;United Kingdom;Size, Kitchen Appliances, Home Goods;
C537039;22854;CREAM SWEETHEART EGG HOLDER;-1;12/05/2010 10:25;4.95;15708.0;United Kingdom;Kitchen Appliances, Home Goods;
C537039;20936;FORKED CACTUS CANDLE;-1;12/05/2010 10:25;2.95;15708.0;United Kingdom;Home Goods;
C537039;85175;CACTI T-LIGHT CANDLES;-1;12/05/2010 10:25;0.42;15708.0;United Kingdom;Home Goods;
C537043;22575;METAL MERRY CHRISTMAS WREATH;-6;12/05/2010 10:48;1.95;15351.0;United Kingdom;Seasonal products, Home Goods;
C537043;11001;ASSTD DESIGN RACING CAR PEN;-1;12/05/2010 10:48;1.69;15351.0;United Kingdom;Home Goods;
C537132;22788;BROCANTE COAT RACK;-2;12/05/2010 12:29;8.5;15221.0;United Kingdom;Other;
C537132;22184;CAKE STAND VICTORIAN FILIGREE LARGE;-1;12/05/2010 12:29;8.5;15221.0;United Kingdom;Kitchen Appliances, Size;
C537132;71279;PINK GLASS CANDLEHOLDER;-2;12/05/2010 12:29;2.95;15221.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C537132;22761;CHEST 7 DRAWER MA CAMPAGNE;-2;12/05/2010 12:29;21.95;15221.0;United Kingdom;Home Goods;
C537132;22769;CHALKBOARD KITCHEN ORGANISER;-8;12/05/2010 12:29;21.95;15221.0;United Kingdom;Kitchen Appliances, Home Goods, Stationary;
C537132;22762;CUPBOARD 3 DRAWER MA CAMPAGNE;-3;12/05/2010 12:29;12.75;15221.0;United Kingdom;Kitchen Appliances, Home Goods;
C537143;20685;DOORMAT RED RETROSPOT;-1;12/05/2010 12:58;7.95;12748.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C537157;35953;FOLKART STAR CHRISTMAS DECORATIONS;-24;12/05/2010 13:09;1.25;15880.0;United Kingdom;Seasonal products, Home Goods;
C537203;37449;CERAMIC CAKE STAND + HANGING CAKES;-1;12/05/2010 14:44;9.95;14606.0;United Kingdom;Kitchen Appliances, Home Goods;
C537203;21424;WOODLAND STORAGE BOX LARGE ;-1;12/05/2010 14:44;2.95;14606.0;United Kingdom;Size;
C537232;84840;SWEETHEART CARRY-ALL BASKET;-2;12/06/2010 09:31;8.5;12586.0;Italy;Home Goods;
C537234;22653;BUTTON BOX ;-20;12/06/2010 09:40;1.95;16161.0;United Kingdom;Other;
C537251;22429;ENAMEL MEASURING JUG CREAM;-2;12/06/2010 10:45;4.25;;United Kingdom;Kitchen Appliances, Accessories;
C537251;22620;4 TRADITIONAL SPINNING TOPS;-8;12/06/2010 10:45;1.25;;United Kingdom;Other;
C537251;21890;S/6 WOODEN SKITTLES IN COTTON BAG;-2;12/06/2010 10:45;2.95;;United Kingdom;Home Goods, Accessories;
C537251;22564;ALPHABET STENCIL CRAFT;-5;12/06/2010 10:45;1.25;;United Kingdom;Stationary;
C537251;21891;TRADITIONAL WOODEN SKIPPING ROPE;-3;12/06/2010 10:45;1.25;;United Kingdom;Home Goods;
C537251;22747;POPPY'S PLAYHOUSE BATHROOM;-6;12/06/2010 10:45;2.1;;United Kingdom;Home Goods;
C537251;22454;MEASURING TAPE BABUSHKA RED;-8;12/06/2010 10:45;2.95;;United Kingdom;Color, Accessories, Stationary;
C537251;22327;ROUND SNACK BOXES SET OF 4 SKULLS;-4;12/06/2010 10:45;2.95;;United Kingdom;Home Goods;
C537251;21915;RED  HARMONICA IN BOX ;-4;12/06/2010 10:45;1.25;;United Kingdom;Color;
C537251;84347;ROTATING SILVER ANGELS T-LIGHT HLDR;-9;12/06/2010 10:45;2.55;;United Kingdom;Kitchen Appliances, Home Goods, Accessories;
C537251;22748;POPPY'S PLAYHOUSE KITCHEN;-4;12/06/2010 10:45;2.1;;United Kingdom;Kitchen Appliances, Home Goods;
C537251;22943;CHRISTMAS LIGHTS 10 VINTAGE BAUBLES;-6;12/06/2010 10:45;4.95;;United Kingdom;Seasonal products, Home Goods, Stationary;
C537251;22418;10 COLOUR SPACEBOY PEN;-7;12/06/2010 10:45;0.85;;United Kingdom;Toys;
C537251;22911;PAPER CHAIN KIT LONDON;-2;12/06/2010 10:45;2.95;;United Kingdom;Stationary;
C537251;22940;FELTCRAFT CHRISTMAS FAIRY;-5;12/06/2010 10:45;4.25;;United Kingdom;Seasonal products, Home Goods, Stationary;
C537251;22141;CHRISTMAS CRAFT TREE TOP ANGEL;-8;12/06/2010 10:45;2.1;;United Kingdom;Seasonal products, Stationary;
C537251;22328;ROUND SNACK BOXES SET OF 4 FRUITS ;-2;12/06/2010 10:45;2.95;;United Kingdom;Home Goods;
C537251;22536;MAGIC DRAWING SLATE PURDEY;-11;12/06/2010 10:45;0.42;;United Kingdom;Stationary;
C537251;21826;EIGHT PIECE DINOSAUR SET;-4;12/06/2010 10:45;1.25;;United Kingdom;Home Goods;
C537251;22466;FAIRY TALE COTTAGE NIGHTLIGHT;-3;12/06/2010 10:45;1.95;;United Kingdom;Home Goods, Stationary;
C537314;21349;IVY HEART WREATH;-4;12/06/2010 11:42;6.75;13497.0;United Kingdom;Home Goods;
C537320;35400;WOODEN BOX ADVENT CALENDAR ;-1;12/06/2010 11:47;8.95;14867.0;United Kingdom;Home Goods;
C537333;22636;CHILDS BREAKFAST SET CIRCUS PARADE;-4;12/06/2010 12:00;8.5;12474.0;Germany;Home Goods;
C537373;22423;REGENCY CAKESTAND 3 TIER;-1;12/06/2010 12:55;12.75;14487.0;United Kingdom;Kitchen Appliances;
C537379;22865;HAND WARMER OWL DESIGN;-10;12/06/2010 13:12;2.1;15882.0;United Kingdom;Home Goods;
C537383;21658;GLASS  BEURRE DISH;-1;12/06/2010 13:17;3.95;16550.0;United Kingdom;Home Goods;
C537383;22197;SMALL POPCORN HOLDER;-1;12/06/2010 13:17;0.85;16550.0;United Kingdom;Size, Kitchen Appliances, Home Goods;
C537383;22371;AIRLINE BAG VINTAGE TOKYO 78;-1;12/06/2010 13:17;4.25;16550.0;United Kingdom;Accessories, Home Goods, Stationary;
C537402;22926;IVORY GIANT GARDEN THERMOMETER;-4;12/06/2010 14:43;5.95;15502.0;United Kingdom;Home Goods, Accessories;
C537402;22927;GREEN GIANT GARDEN THERMOMETER;-4;12/06/2010 14:43;5.95;15502.0;United Kingdom;Color, Home Goods;
C537402;22849;BREAD BIN DINER STYLE MINT;-4;12/06/2010 14:43;14.95;15502.0;United Kingdom;Other;
C537402;22847;BREAD BIN DINER STYLE IVORY;-4;12/06/2010 14:43;14.95;15502.0;United Kingdom;Accessories;
C537402;47580;TEA TIME DES TEA COSY;-6;12/06/2010 14:43;2.55;15502.0;United Kingdom;Kitchen Appliances;
C537402;22196;SMALL HEART MEASURING SPOONS;-12;12/06/2010 14:43;0.85;15502.0;United Kingdom;Size, Home Goods, Accessories;
C537406;22926;IVORY GIANT GARDEN THERMOMETER;-4;12/06/2010 14:53;5.95;15502.0;United Kingdom;Home Goods, Accessories;
C537406;22927;GREEN GIANT GARDEN THERMOMETER;-4;12/06/2010 14:53;5.95;15502.0;United Kingdom;Color, Home Goods;
C537406;22847;BREAD BIN DINER STYLE IVORY;-4;12/06/2010 14:53;14.95;15502.0;United Kingdom;Accessories;
C537406;22849;BREAD BIN DINER STYLE MINT;-4;12/06/2010 14:53;14.95;15502.0;United Kingdom;Other;
C537408;47580;TEA TIME DES TEA COSY;-6;12/06/2010 14:55;2.55;15502.0;United Kingdom;Kitchen Appliances;
C537408;22196;SMALL HEART MEASURING SPOONS;-12;12/06/2010 14:55;0.85;15502.0;United Kingdom;Size, Home Goods, Accessories;
C537413;22834;HAND WARMER BABUSHKA DESIGN;-72;12/06/2010 15:07;2.1;14409.0;United Kingdom;Home Goods;
C537414;22086;PAPER CHAIN KIT 50'S CHRISTMAS ;-6;12/06/2010 15:09;2.95;16861.0;United Kingdom;Seasonal products, Stationary;
C537416;22840;ROUND CAKE TIN VINTAGE RED;-1;12/06/2010 15:10;7.95;16138.0;United Kingdom;Kitchen Appliances, Color, Home Goods, Stationary;
C537417;22960;JAM MAKING SET WITH JARS;-1;12/06/2010 15:12;4.25;13481.0;United Kingdom;Home Goods;
C537431;21755;LOVE BUILDING BLOCK WORD;-1;12/06/2010 16:10;5.95;16782.0;United Kingdom;Other;
C537444;22580;ADVENT CALENDAR GINGHAM SACK;-8;12/07/2010 08:42;5.95;14850.0;United Kingdom;Other;
C537445;22418;10 COLOUR SPACEBOY PEN;-11;12/07/2010 08:57;0.85;15021.0;United Kingdom;Toys;
C537530;21527;RED RETROSPOT TRADITIONAL TEAPOT ;-1;12/07/2010 11:47;7.95;13319.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C537530;85047;WHITE BEADED GARLAND STRING 20LIGHT;-2;12/07/2010 11:47;6.35;13319.0;United Kingdom;Color, Home Goods, Accessories;
C537530;22726;ALARM CLOCK BAKELIKE GREEN;-2;12/07/2010 11:47;3.75;13319.0;United Kingdom;Color;
C537596;22968;ROSE COTTAGE KEEPSAKE BOX ;-2;12/07/2010 12:31;9.95;17954.0;United Kingdom;Stationary, Home Goods, Gifts Jewelry;
C537602;85099B;JUMBO BAG RED RETROSPOT;-1;12/07/2010 12:45;1.65;17511.0;United Kingdom;Kitchen Appliances, Color, Home Goods, Accessories;
C537602;21622;VINTAGE UNION JACK CUSHION COVER;-1;12/07/2010 12:45;4.95;17511.0;United Kingdom;Accessories, Home Goods, Stationary;
C537602;22065;CHRISTMAS PUDDING TRINKET POT ;-1;12/07/2010 12:45;1.25;17511.0;United Kingdom;Seasonal products;
C537602;22061;LARGE CAKE STAND  HANGING STRAWBERY;-1;12/07/2010 12:45;8.5;17511.0;United Kingdom;Size, Kitchen Appliances, Home Goods;
C537602;22654;DELUXE SEWING KIT ;-1;12/07/2010 12:45;4.95;17511.0;United Kingdom;Stationary;
C537602;85123A;WHITE HANGING HEART T-LIGHT HOLDER;-1;12/07/2010 12:45;2.55;17511.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C537602;22665;RECIPE BOX BLUE SKETCHBOOK DESIGN;-1;12/07/2010 12:45;2.95;17511.0;United Kingdom;Color, Home Goods, Stationary;
C537602;22197;SMALL POPCORN HOLDER;-1;12/07/2010 12:45;0.72;17511.0;United Kingdom;Size, Kitchen Appliances, Home Goods;
C537602;22659;LUNCH BOX I LOVE LONDON;-4;12/07/2010 12:45;1.65;17511.0;United Kingdom;Other;
C537602;22169;FAMILY ALBUM WHITE PICTURE FRAME;-1;12/07/2010 12:45;7.65;17511.0;United Kingdom;Color;
C537602;21843;RED RETROSPOT CAKE STAND;-1;12/07/2010 12:45;9.95;17511.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C537602;22423;REGENCY CAKESTAND 3 TIER;-2;12/07/2010 12:45;10.95;17511.0;United Kingdom;Kitchen Appliances;
C537602;84050;PINK HEART SHAPE EGG FRYING PAN;-1;12/07/2010 12:45;1.25;17511.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C537602;22198;LARGE POPCORN HOLDER ;-1;12/07/2010 12:45;1.45;17511.0;United Kingdom;Size, Kitchen Appliances, Home Goods;
C537611;22865;HAND WARMER OWL DESIGN;-36;12/07/2010 13:25;2.1;17675.0;United Kingdom;Home Goods;
C537656;21258;VICTORIAN SEWING BOX LARGE;-12;12/07/2010 16:21;10.95;15100.0;United Kingdom;Size;
C537684;22301;COFFEE MUG CAT + BIRD DESIGN;-1;12/08/2010 10:18;2.55;14901.0;United Kingdom;Kitchen Appliances, Home Goods;
C537684;22730;ALARM CLOCK BAKELIKE IVORY;-1;12/08/2010 10:18;3.75;14901.0;United Kingdom;Accessories;
C537746;22156;HEART DECORATION WITH PEARLS ;-1;12/08/2010 11:03;0.85;15021.0;United Kingdom;Home Goods;
C537746;21558;SKULL LUNCH BOX WITH CUTLERY ;-1;12/08/2010 11:03;2.55;15021.0;United Kingdom;Other;
C537746;71477;COLOUR GLASS. STAR T-LIGHT HOLDER;-1;12/08/2010 11:03;3.25;15021.0;United Kingdom;Kitchen Appliances, Home Goods;
C537756;21914;BLUE HARMONICA IN BOX ;-24;12/08/2010 11:33;1.25;14952.0;United Kingdom;Color;
C537756;84949;SILVER HANGING T-LIGHT HOLDER;-8;12/08/2010 11:33;1.65;14952.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;
C537756;21275;ZINC TOP  2 DOOR WOODEN SHELF ;-4;12/08/2010 11:33;14.95;14952.0;United Kingdom;Home Goods;
C537763;85068;CREAM SWEETHEART SHELF + HOOKS;-1;12/08/2010 12:03;7.95;16713.0;United Kingdom;Kitchen Appliances, Home Goods;
C537788;90062;CARNIVAL BRACELET;-1;12/08/2010 12:49;12.75;15916.0;United Kingdom;Accessories;
C537788;16202E;BLACK PHOTO ALBUM ;-1;12/08/2010 12:49;5.55;15916.0;United Kingdom;Color;
C537797;22501;PICNIC BASKET WICKER LARGE;-1;12/08/2010 13:07;8.5;13113.0;United Kingdom;Size;
C537797;22423;REGENCY CAKESTAND 3 TIER;-2;12/08/2010 13:07;10.95;13113.0;United Kingdom;Kitchen Appliances;
C537797;22469;HEART OF WICKER SMALL;-1;12/08/2010 13:07;1.45;13113.0;United Kingdom;Size, Home Goods;
C537798;22357;KINGS CHOICE BISCUIT TIN;-1;12/08/2010 13:07;4.25;16553.0;United Kingdom;Kitchen Appliances, Home Goods;
C537805;35004C;SET OF 3 COLOURED  FLYING DUCKS;-1;12/08/2010 13:18;4.65;15311.0;United Kingdom;Color, Home Goods;
C537805;40001;WHITE BAMBOO RIBS LAMPSHADE;-2;12/08/2010 13:18;0.64;15311.0;United Kingdom;Color, Home Goods;
C537805;85047;WHITE BEADED GARLAND STRING 20LIGHT;-1;12/08/2010 13:18;5.55;15311.0;United Kingdom;Color, Home Goods, Accessories;
C537805;22719;GUMBALL MONOCHROME COAT RACK;-3;12/08/2010 13:18;1.06;15311.0;United Kingdom;Sports Equipment;
C537805;20798;CLEAR MILKSHAKE GLASS;-4;12/08/2010 13:18;1.65;15311.0;United Kingdom;Home Goods;
C537805;22198;LARGE POPCORN HOLDER ;-1;12/08/2010 13:18;1.45;15311.0;United Kingdom;Size, Kitchen Appliances, Home Goods;
C537805;22197;SMALL POPCORN HOLDER;-1;12/08/2010 13:18;0.72;15311.0;United Kingdom;Size, Kitchen Appliances, Home Goods;
C537805;20829;GLITTER HANGING BUTTERFLY STRING;-1;12/08/2010 13:18;2.1;15311.0;United Kingdom;Home Goods, Accessories;
C537805;22571;ROCKING HORSE RED CHRISTMAS ;-1;12/08/2010 13:18;0.85;15311.0;United Kingdom;Seasonal products, Color;
C537807;84949;SILVER HANGING T-LIGHT HOLDER;-5;12/08/2010 13:23;1.65;13495.0;United Kingdom;Kitchen Appliances, Home Goods, Accessories;
C537807;21730;GLASS STAR FROSTED T-LIGHT HOLDER;-3;12/08/2010 13:23;4.95;13495.0;United Kingdom;Kitchen Appliances, Home Goods;
C537807;21143;ANTIQUE GLASS HEART DECORATION ;-1;12/08/2010 13:23;1.95;13495.0;United Kingdom;Home Goods;
C537807;21812;GARLAND WITH HEARTS AND BELLS;-6;12/08/2010 13:23;4.95;13495.0;United Kingdom;Home Goods;
C537812;21843;RED RETROSPOT CAKE STAND;-10;12/08/2010 13:33;9.95;14299.0;United Kingdom;Kitchen Appliances, Color, Home Goods;
C537812;22423;REGENCY CAKESTAND 3 TIER;-10;12/08/2010 13:33;10.95;14299.0;United Kingdom;Kitchen Appliances;
