StockCode;Total_Returns
23323;-6.30
84881;-6.35
21071;-6.36
20681;-6.50
21194;-6.50
20798;-6.60
82578;-6.60
85040B;-6.60
85062;-6.60
23273;-6.60
21918;-6.72
79190B;-6.72
84596F;-6.72
84596B;-6.72
85126;-6.75
21364;-6.75
22609;-6.84
51008;-6.90
22119;-6.95
21983;-6.96
20984;-6.96
84926F;-6.96
84985A;-7.25
21306;-7.32
23093;-7.47
23090;-7.47
22203;-7.50
22592;-7.50
20674;-7.50
22252;-7.50
21925;-7.50
21467;-7.50
23160;-7.50
21469;-7.50
23346;-7.50
23227;-7.50
90176A;-7.50
90176D;-7.50
23330;-7.50
22751;-7.50
84931B;-7.65
21279;-7.65
21880;-7.80
22821;-7.80
47594B;-7.80
85032C;-7.80
85032D;-7.80
22918;-7.80
22916;-7.80
22919;-7.80
22917;-7.80
22921;-7.80
21311;-7.83
22723;-7.90
21359;-7.90
23434;-7.90
85068;-7.95
85135C;-7.95
85135B;-7.95
84600;-7.95
85170D;-8.00
21564;-8.05
15044C;-8.05
23410;-8.15
22616;-8.16
23054;-8.25
23053;-8.25
23052;-8.25
23050;-8.25
23066;-8.25
23466;-8.25
23133;-8.25
23491;-8.25
23415;-8.25
23544;-8.25
22268;-8.26
23389;-8.30
23454;-8.30
23456;-8.30
21209;-8.33
82613D;-8.40
82613C;-8.40
82613B;-8.40
85054;-8.40
21426;-8.40
85186C;-8.40
85199L;-8.45
21987;-8.45
22201;-8.50
22437;-8.50
84969;-8.50
72803A;-8.50
85231G;-8.50
22613;-8.50
23342;-8.50
21408;-8.50
21394;-8.58
16259;-8.64
23270;-8.70
22981;-8.70
23034;-8.70
22416;-8.70
22091;-8.75
22258;-8.75
23345;-8.75
22893;-8.82
22359;-8.85
21041;-8.85
22934;-8.85
85104;-8.85
22183;-8.95
21630;-8.95
21373;-9.00
22067;-9.10
84663A;-9.11
23186;-9.24
21786;-9.24
85064;-9.30
85231B;-9.35
21158;-9.36
23376;-9.36
47504K;-9.48
21896;-9.75
85027L;-9.75
85132C;-9.75
22472;-9.90
21246;-9.90
90059C;-9.90
90059B;-9.90
90059A;-9.90
90192;-9.90
90059F;-9.90
90059E;-9.90
90059D;-9.90
23569;-9.90
23316;-9.95
22209;-9.96
20836;-9.96
23223;-9.96
23220;-9.96
85199S;-10.08
22530;-10.08
22533;-10.08
22718;-10.08
21507;-10.08
21916;-10.08
23306;-10.15
21558;-10.20
79066K;-10.20
22348;-10.20
22116;-10.20
21677;-10.20
21675;-10.20
79191D;-10.20
21942;-10.20
22948;-10.20
84832;-10.20
84798B;-10.20
20840;-10.20
20838;-10.20
22132;-10.20
22523;-10.20
22322;-10.20
22393;-10.20
21059;-10.20
21058;-10.20
22522;-10.20
85017B;-10.20
22491;-10.20
79191B;-10.20
22792;-10.20
84821;-10.20
23367;-10.40
23511;-10.40
23145;-10.45
22049;-10.50
22712;-10.50
22705;-10.50
23233;-10.50
22986;-10.50
22899;-10.50
22047;-10.50
22039;-10.50
21495;-10.50
16161U;-10.50
90108;-10.50
22708;-10.50
22706;-10.50
22050;-10.50
22048;-10.50
16161P;-10.50
21167;-10.50
37503;-10.75
22661;-10.79
35810B;-10.79
23148;-10.79
23295;-10.79
23294;-10.79
22996;-10.92
22603;-11.05
22851;-11.05
21878;-11.05
21455;-11.05
46138B;-11.05
22095;-11.06
84976;-11.06
82581;-11.16
22719;-11.17
22099;-11.25
20980;-11.25
20970;-11.25
21913;-11.25
84952B;-11.25
23403;-11.25
82616B;-11.25
23490;-11.25
85131A;-11.27
84970L;-11.40
23493;-11.40
23028;-11.55
22208;-11.61
23182;-11.62
23224;-11.62
22575;-11.70
20886;-11.70
23039;-11.70
22496;-11.80
22224;-11.80
90201A;-11.80
84674;-11.80
21794;-11.85
90211B;-11.90
22822;-11.90
21756;-11.90
85014B;-11.90
40001;-12.16
22338;-12.27
85150;-12.30
23025;-12.48
23338;-12.48
23074;-12.48
23514;-12.48
23513;-12.48
21114;-12.50
22685;-12.50
22679;-12.50
23291;-12.50
23017;-12.50
23073;-12.50
23290;-12.50
23400;-12.50
23556;-12.50
23065;-12.50
22747;-12.60
16237;-12.60
22994;-12.60
20795;-12.60
47599A;-12.60
90209A;-12.60
20901;-12.70
90199C;-12.70
90062;-12.75
84968D;-12.75
85065;-12.75
21633;-12.75
22165;-12.75
85173;-12.75
84030E;-12.75
85163B;-12.75
22282;-12.75
72807B;-12.75
22620;-12.90
16054;-12.96
22436;-13.00
84692;-13.02
22644;-13.05
23035;-13.05
23374;-13.12
23431;-13.28
90204;-13.40
84536A;-13.44
22825;-13.50
21110;-13.50
21243;-13.52
22230;-13.53
21326;-13.65
90058B;-13.68
90058A;-13.68
22678;-13.75
22676;-13.75
22677;-13.75
22682;-13.75
21129;-13.90
37501;-13.90
90050;-13.90
85230G;-13.92
21090;-14.04
23380;-14.04
85174;-14.15
22046;-14.28
22614;-14.43
21080;-14.45
23178;-14.45
23241;-14.56
72760B;-14.60
22187;-14.70
21320;-14.70
71279;-14.75
21424;-14.75
22681;-14.81
22854;-14.85
85042;-14.85
85232D;-14.85
85232A;-14.85
23114;-14.85
22182;-14.85
21682;-14.85
22336;-14.95
21066;-15.00
20675;-15.00
85049A;-15.00
72815;-15.00
22093;-15.00
22403;-15.00
22402;-15.00
22396;-15.00
21224;-15.00
21745;-15.00
21471;-15.00
21747;-15.00
22855;-15.00
22683;-15.00
22673;-15.00
85169C;-15.00
85169A;-15.00
20658;-15.00
23444;-15.00
22435;-15.00
22200;-15.00
21643;-15.00
21991;-15.00
23574;-15.00
23153;-15.00
90143;-15.00
23396;-15.00
23412;-15.00
23333;-15.00
90022;-15.00
90003E;-15.00
90003D;-15.00
90003C;-15.00
90003B;-15.00
23289;-15.00
22619;-15.00
23352;-15.00
21993;-15.00
23161;-15.00
23213;-15.00
23266;-15.00
21990;-15.00
21519;-15.12
21801;-15.12
72586;-15.12
23288;-15.17
21136;-15.21
22394;-15.30
84508B;-15.30
85124B;-15.30
90098;-15.30
84461;-15.30
22345;-15.30
22343;-15.30
90208;-15.30
90169;-15.30
90118;-15.30
90101;-15.30
21285;-15.60
21459;-15.60
22431;-15.60
21264;-15.60
47469;-15.60
21577;-15.75
22365;-15.90
48111;-15.90
22443;-15.90
22142;-15.95
21976;-15.95
21208;-15.99
72802A;-16.12
20981;-16.15
22414;-16.20
21892;-16.25
85118;-16.25
22684;-16.25
22674;-16.25
22805;-16.25
23428;-16.30
23000;-16.38
23187;-16.49
20856;-16.50
23051;-16.50
22858;-16.50
22081;-16.50
22739;-16.50
23541;-16.50
22080;-16.50
21934;-16.50
23583;-16.50
23445;-16.60
23469;-16.60
23461;-16.60
21318;-16.71
79160;-16.80
21749;-16.80
22339;-16.93
23244;-16.95
22184;-17.00
84840;-17.00
84819;-17.00
22215;-17.00
22248;-17.00
21789;-17.00
22194;-17.00
22374;-17.00
84609;-17.00
90024B;-17.00
23426;-17.34
23518;-17.34
21984;-17.40
23138;-17.40
22647;-17.40
23268;-17.40
23497;-17.40
23139;-17.40
22340;-17.40
23425;-17.43
85049G;-17.50
21926;-17.50
22731;-17.50
47594A;-17.55
72799E;-17.70
22911;-17.70
22895;-17.70
22743;-17.70
22063;-17.70
20898;-17.70
21164;-17.70
22495;-17.70
90201C;-17.70
90202D;-17.70
90202C;-17.70
90202B;-17.70
90202A;-17.70
90183A;-17.70
90182C;-17.70
90177E;-17.70
90177D;-17.70
90177C;-17.70
90177A;-17.70
90168;-17.70
23597;-17.70
21872;-17.72
21239;-17.85
84507C;-17.85
78033;-17.85
90070;-17.85
22276;-17.85
21056;-17.90
22544;-18.06
22243;-18.15
35957;-18.24
85047;-18.25
85194S;-18.39
21890;-18.40
22377;-18.45
21788;-18.50
84422;-18.72
21811;-18.72
21470;-18.75
85049E;-18.75
21746;-18.75
22204;-18.75
23087;-18.75
23423;-18.75
23265;-18.75
23406;-18.75
23401;-18.75
23436;-18.75
84988;-18.85
21172;-18.85
23196;-18.85
84951A;-18.96
35965;-18.96
20985;-19.43
22468;-19.45
22853;-19.50
23142;-19.55
22163;-19.75
22295;-19.80
21911;-19.80
22075;-19.80
22074;-19.80
85045;-19.80
22913;-19.80
90170;-19.80
35651;-19.80
70007;-19.80
22774;-19.81
22221;-19.90
90147;-19.90
21784;-19.90
23353;-19.92
23222;-19.92
21034;-19.95
23016;-19.95
22251;-20.00
23086;-20.00
23372;-20.00
20978;-20.00
20802;-20.07
22449;-20.10
21830;-20.16
84536B;-20.16
22537;-20.16
22535;-20.16
21199;-20.16
22155;-20.16
84970S;-20.20
21165;-20.28
22949;-20.30
21716;-20.40
22599;-20.40
22995;-20.58
22274;-20.65
22311;-20.65
22318;-20.65
90201B;-20.65
35648;-20.75
85034A;-20.75
22428;-20.85
22711;-21.00
22710;-21.00
22052;-21.00
21498;-21.00
22704;-21.00
35971;-21.25
22852;-21.25
23232;-21.42
22663;-21.45
22068;-21.45
22150;-21.45
22284;-21.45
22736;-21.45
23147;-21.75
84987;-21.75
22065;-22.02
22219;-22.10
15039;-22.10
23119;-22.32
21579;-22.50
85059;-22.50
22750;-22.50
23525;-22.50
23524;-22.50
23523;-22.50
21829;-22.68
84050;-22.70
84997C;-22.90
23427;-22.90
22181;-22.95
20794;-22.95
23132;-23.00
20854;-23.10
23188;-23.10
84625A;-23.30
22246;-23.40
22454;-23.60
22358;-23.60
22271;-23.60
22744;-23.60
21313;-23.62
23013;-23.70
22460;-23.75
21755;-23.80
22600;-23.80
22499;-23.80
85194L;-23.80
84687;-23.80
84820;-23.80
23536;-23.80
84631;-23.85
22692;-23.85
48194;-23.85
22166;-23.85
37447;-23.89
20801;-24.00
22196;-24.13
48116;-24.15
22691;-24.15
22645;-24.45
22860;-24.75
20857;-24.75
22652;-24.75
22505;-24.75
22914;-24.75
23049;-24.75
85127;-24.75
37500;-24.85
23131;-24.90
22764;-24.95
23335;-24.96
21289;-25.00
21714;-25.00
23094;-25.00
47503A;-25.08
22664;-25.20
22746;-25.20
22417;-25.30
21244;-25.35
21411;-25.50
85036B;-25.50
85035A;-25.50
90148;-25.50
90185A;-25.50
82001S;-25.53
23089;-25.65
22270;-25.89
72818;-25.92
23483;-26.24
22856;-26.25
84279B;-26.25
23152;-26.25
23292;-26.25
23395;-26.25
23409;-26.25
23527;-26.25
22672;-26.40
21213;-26.40
23660;-26.40
21743;-26.55
23293;-26.56
21349;-27.00
21581;-27.00
84849A;-27.04
71038;-27.25
22745;-27.30
21903;-27.30
22432;-27.30
84375;-27.30
21907;-27.30
23149;-27.39
20676;-27.50
20717;-27.50
21874;-27.71
37370;-27.80
20704;-27.80
85180A;-27.90
21899;-27.95
22329;-28.05
22662;-28.05
85040A;-28.05
20803;-28.56
22306;-28.70
22597;-28.90
23026;-29.12
23408;-29.12
21169;-29.22
22148;-29.25
21067;-29.38
22153;-29.40
22964;-29.40
20932;-29.50
23328;-29.64
22278;-29.70
22912;-29.70
22425;-29.70
21770;-29.70
23325;-29.70
20703;-29.75
21624;-29.75
21344;-29.85
21667;-29.90
21628;-29.90
35953;-30.00
22686;-30.00
72817;-30.00
72816;-30.00
20972;-30.00
22399;-30.00
23183;-30.00
22982;-30.00
22550;-30.00
23299;-30.00
23211;-30.00
90013A;-30.00
21123;-30.00
23349;-30.00
23350;-30.00
84828;-30.00
22098;-30.11
23120;-30.24
21240;-30.34
21284;-30.36
47580;-30.60
84798A;-30.60
22302;-30.60
21039;-30.60
21700;-30.60
90174;-30.60
22582;-30.60
22596;-30.72
22244;-31.20
21644;-31.25
22700;-31.30
23230;-31.50
22045;-31.50
22189;-31.60
21705;-31.60
23012;-31.60
48187;-31.80
22283;-31.80
23253;-31.90
22263;-32.34
21713;-32.35
84247K;-32.45
22162;-32.45
21889;-32.50
21870;-32.50
22567;-32.70
23006;-32.76
22997;-32.76
22974;-33.00
22082;-33.00
23181;-33.00
23031;-33.00
23661;-33.00
21586;-33.15
22300;-33.15
22937;-33.15
22233;-33.59
22141;-33.60
22970;-33.60
20793;-33.75
22675;-33.75
84509A;-33.75
23296;-33.75
22507;-33.95
22199;-34.00
22602;-34.00
85172;-34.02
21042;-34.40
21933;-34.45
22555;-34.65
23128;-34.65
21197;-34.65
21813;-34.65
23106;-34.68
22291;-34.80
21824;-34.80
21875;-35.00
22361;-35.00
23076;-35.00
22775;-35.00
22434;-35.10
84799;-35.16
21559;-35.25
20897;-35.40
21696;-35.40
23014;-35.55
22748;-35.70
85014A;-35.70
22928;-35.70
22059;-35.76
22466;-35.85
22824;-35.95
21975;-36.06
72741;-36.25
23197;-36.25
22973;-36.30
21531;-36.45
23144;-36.52
21703;-36.54
22607;-36.90
84849D;-37.18
84766;-37.25
15058A;-37.35
15058B;-37.35
23255;-37.35
23130;-37.35
22680;-37.50
47559B;-37.50
22800;-37.50
22771;-37.50
23459;-37.50
23320;-37.57
22971;-37.65
22055;-37.75
22915;-37.80
90185B;-38.25
72807A;-38.25
21464;-38.25
23311;-38.25
22584;-38.25
21980;-38.28
84947;-38.29
22863;-38.35
84031A;-39.00
23433;-39.01
22759;-39.60
21645;-39.60
22476;-39.60
22332;-39.60
21777;-39.75
22794;-39.75
21623;-39.80
23414;-39.80
82582;-39.90
21686;-39.95
22094;-39.97
22444;-40.00
48188;-40.05
21523;-40.05
22342;-40.20
20711;-40.31
22818;-40.32
23235;-40.46
85141;-40.55
84800L;-40.56
22586;-40.80
22352;-40.80
23229;-40.89
48173C;-40.95
84031B;-40.95
22812;-40.95
85175;-41.16
21832;-41.25
84625C;-41.65
22777;-41.65
23286;-41.65
23534;-41.65
22646;-41.90
21098;-41.91
21864;-42.00
22465;-42.15
21381;-42.25
22294;-42.50
23347;-42.50
21626;-42.90
23297;-42.90
20718;-42.99
22701;-43.00
21238;-43.22
21399;-43.29
22741;-43.35
23287;-43.35
23091;-43.75
84836;-43.75
22761;-43.90
21277;-43.90
22907;-44.20
22439;-44.20
22327;-44.25
22557;-44.55
84755;-44.85
21914;-45.00
22073;-45.00
21791;-45.00
23177;-45.00
22426;-45.00
23193;-45.00
21821;-45.00
20931;-45.05
21068;-45.66
37342;-45.68
22896;-45.90
22307;-45.90
23103;-46.20
23029;-46.20
23234;-46.24
22976;-46.25
47567B;-46.30
21642;-46.54
85063;-46.85
21937;-47.20
21351;-47.25
23348;-47.26
22925;-47.60
48184;-47.70
20750;-47.70
22536;-47.82
22554;-47.85
22551;-47.85
23221;-48.14
21530;-48.19
22690;-48.30
23307;-48.40
23309;-48.40
90160A;-48.65
23542;-48.70
21927;-48.75
22349;-48.75
21524;-48.90
22079;-49.50
23081;-49.50
22763;-49.75
22167;-49.75
23460;-49.75
23140;-49.80
23354;-49.80
23413;-49.80
23156;-49.92
23392;-49.92
84997A;-49.95
22217;-50.00
22494;-50.00
22212;-50.40
22902;-50.40
21833;-50.70
23010;-50.85
84826;-51.00
85019C;-51.00
84968C;-51.00
21205;-51.00
21361;-51.00
23159;-52.00
16169E;-52.50
84750A;-52.65
22859;-52.80
22808;-53.10
22413;-53.10
23099;-53.20
20679;-53.55
22320;-53.55
23356;-53.55
21055;-53.70
23002;-53.76
79323B;-54.00
79323P;-54.00
79323W;-54.00
23302;-54.24
22633;-54.60
21908;-54.60
22232;-54.72
84880;-55.10
21137;-55.17
84688;-55.25
21932;-55.35
21977;-55.55
22242;-56.10
22077;-56.10
22972;-56.10
23242;-56.16
21888;-56.25
22585;-56.25
22381;-56.45
21262;-56.75
22788;-56.80
85053;-57.16
23283;-57.45
22064;-57.60
22488;-57.75
23015;-57.75
22371;-57.78
21792;-57.95
84029G;-58.00
15056P;-58.20
22653;-58.50
21844;-58.60
23263;-58.75
21876;-58.90
22632;-59.15
21242;-59.15
21891;-59.32
22301;-59.40
20821;-59.40
21846;-59.40
23397;-59.70
23407;-59.70
21198;-59.76
22770;-59.80
84632;-59.95
84279P;-60.00
23267;-60.00
23078;-60.00
23226;-60.00
84598;-60.48
21352;-60.75
21655;-60.84
22897;-60.90
51014A;-61.20
21288;-61.20
21124;-61.25
21122;-61.25
84535B;-61.75
22027;-61.92
22665;-62.10
84992;-62.14
23022;-62.40
23314;-62.50
20961;-62.50
20723;-62.71
85116;-63.00
20749;-63.60
23382;-63.75
46000S;-63.80
22631;-64.35
22325;-64.35
21534;-64.35
23127;-64.35
23184;-64.35
23313;-64.35
23321;-64.35
22621;-64.75
22967;-64.90
22299;-65.00
C2;-65.00
20682;-65.00
23238;-65.60
23168;-65.61
23209;-65.80
51014L;-65.88
22951;-66.00
22737;-66.00
23042;-66.50
22558;-66.58
37448;-67.05
21591;-67.50
22843;-67.50
23324;-67.51
84352;-67.80
84247E;-67.85
90185C;-68.00
23480;-68.10
21730;-68.60
22983;-68.76
21812;-69.30
21363;-69.30
22939;-69.30
22198;-69.35
23237;-69.35
22211;-69.60
23225;-69.72
22128;-70.00
22367;-70.20
23470;-70.70
22801;-70.89
22072;-71.25
22057;-71.52
22158;-71.75
22957;-71.90
21790;-72.25
21190;-72.50
23251;-72.50
22947;-72.92
22962;-72.97
85034C;-73.00
82600;-73.30
23020;-73.65
21810;-73.75
21429;-74.10
22998;-74.34
22760;-74.70
23458;-74.75
23212;-75.00
23077;-75.00
22832;-75.25
20934;-75.30
20893;-75.60
21845;-75.64
23032;-75.90
21156;-76.05
22107;-76.25
22357;-76.50
22485;-76.50
22626;-76.50
22486;-76.50
22526;-76.50
22312;-76.70
21275;-76.75
23004;-77.28
21672;-77.55
84817;-77.70
22380;-77.70
23092;-77.75
20975;-78.00
22989;-78.00
22795;-78.45
21216;-78.50
23393;-78.75
23126;-79.20
22965;-79.80
22571;-80.17
51014C;-80.34
21535;-80.70
22579;-81.60
85159A;-82.40
22508;-82.50
21499;-82.50
84032A;-82.60
23254;-83.00
23045;-83.00
22577;-83.05
21452;-83.15
23194;-83.25
22927;-83.30
22809;-83.70
21915;-83.75
22993;-85.00
22623;-85.20
85159B;-86.54
22734;-86.70
22060;-87.20
20719;-87.40
22442;-87.45
23249;-87.71
22829;-87.90
22845;-88.10
22156;-88.21
21257;-88.40
21974;-88.45
37446;-88.85
21622;-89.10
22926;-89.25
84459A;-89.40
21217;-89.55
23487;-89.55
84616;-89.85
84378;-90.00
22693;-90.00
23080;-90.75
22963;-90.86
21259;-92.20
22144;-92.40
22629;-92.70
23198;-92.80
21528;-93.30
22041;-93.75
20977;-93.75
22231;-95.05
23526;-95.20
23236;-95.37
23275;-95.41
84991;-95.70
84944;-95.70
37450;-96.20
21670;-96.25
22605;-97.00
23206;-97.15
22362;-97.35
84945;-97.46
48138;-97.50
23315;-97.80
84380;-98.75
22430;-99.00
21485;-99.00
21868;-99.41
22940;-99.50
23041;-99.60
21873;-100.07
23176;-101.25
84818;-101.45
23007;-101.70
84012;-102.00
21668;-102.67
23082;-103.16
22841;-103.35
22593;-103.68
22595;-103.68
22628;-103.95
22113;-104.25
22130;-104.53
23351;-104.88
22398;-105.00
71459;-105.88
22780;-106.25
22779;-106.25
15034;-108.29
84997D;-108.75
22556;-108.90
21539;-108.95
47599B;-109.20
22694;-109.20
23208;-109.85
22168;-110.50
22867;-111.30
22578;-112.49
21820;-112.50
22355;-113.59
22109;-114.39
23163;-114.40
84792;-114.69
21906;-114.75
47590A;-114.80
21669;-115.01
22892;-115.19
23239;-115.80
22729;-115.89
22938;-117.00
22627;-117.21
22979;-117.55
22722;-118.00
22606;-118.25
23247;-118.54
21754;-118.60
22170;-118.65
23008;-118.65
84665;-119.00
